question,company,rating,position,date,comments
A gas station has 30 gallon of gasoline worth 1.20 per gallon and some worth 1.40 per gallon .how many gallons of the 1.40 brand must the owner mix in to produce gasoline that cost 1.28 per gallon,Interviewed at Capital One,4.0,Senior Data Analyst,2 Dec 2017,4
Most of the questions were regarding my work experience so far. And a few logic questions like what is the angle between the hours hand and minutes hand when the time is 3:15; How do I identify which switch corresponds to which light bulb when the switches are in one room and the bulbs are in another and given that I can enter the room with bulbs only once.,Interviewed at BlackRock,3.9,Product Data Analyst,16 Oct 2012,4
"Suppose there is a point A on road. From this point, probability of any car to pass in 20 min. is p; then tell what is probability for any car to pass in 2 min.?",Interviewed at Opera Solutions,3.0,Research and Data Analyst,20 Dec 2013,4
"For a given array count combination of pairs of (x,y) whose sum is N.",Interviewed at Zalando,3.6,Junior Data Analyst,27 Aug 2013,4
Most difficult experience in a work environment,Interviewed at The Coca-Cola Company,4.1,Global Data Analyst,3 Mar 2018,4
Nothing difficult. Some people found difficult the questions about how to get along with colleagues and how to create a good relationship or break the ice.,Interviewed at FDM Group,3.2,Data Analyst,15 Oct 2013,4
"Given a revenue transaction table that contains user_id, timestamp, and revenue, how would you find the third purchase of every user?",Interviewed at Uber,3.8,Data Analyst,2 Jun 2017,4
"They asked me to do a Excel Test, without telling me beforehand of it.",Interviewed at Benchmark Education,2.9,Data Analyst,29 May 2015,4
"Si 1600 abejas completan una colmena en 50 días, cuánto tardan 2000 abejas",Interviewed at VTEX,3.9,Data Analyst,19 Apr 2021,3
Sort lines in a txt file by one of the columns using shell scripting.,Interviewed at WorldQuant,4.3,Data Analyst,18 Apr 2011,3
"Phone Interview #2

You are playing a game of baseball. There are two outs in the bottom of the ninth, and you are down by one run. You are currently a baserunner on first base. [Obviously, you must score or else the game ends].

A)You are trying to figure out if you should steal second base or not. What kind of information do you need to know to inform this decision?

B) Every batter in your lineup has identical odds.They get a single 50% of the time and they strike out 50% of the time. If you are on first base, you cannot score on a single. If you are on second, you are guaranteed to score on a single. You successfully steal 75% of the time. Should you steal?
[I may be missing some of the nonsense here, but this is all the relevant information]

C) It turns out the pitcher acts a bit differently with a runner on second [regardless of who the batter is] and no other runners on base. Under these circumstances, he is 50% to strike them out, 40% to surrender a walk, and 10% to surrender a hit. How does this change things/ should you steal?",Interviewed at DraftKings,4.0,Business Data Analyst,26 Apr 2015,3
Can you add 1-100 together right now?  Do this by adding 1+2+3 etc all the way to 100.,Interviewed at Dealer.com by Cox Automotive,3.8,Data Analyst,21 Jun 2010,3
"What is success? 
Some IT knowledge required for the technical test- what does http stand for; how many bits are in a byte etc.",Interviewed at FDM Group,3.2,Financial Data Analyst,4 Nov 2013,3
Questions were based on past experience,Interviewed at Microsoft,4.2,Data Analyst,6 Apr 2021,3
"You have lots of tasks to do, and somebody calls you with another request. He states his problem is of the highest priority, and if the problem is not solved somebody would lose his job. What would you do.",Interviewed at UBS,3.8,Data Analyst,22 Feb 2012,3
Are you able to work these hours?,Interviewed at Pear Therapeutics,3.5,Data Analyst,10 Dec 2020,3
If there 8 balls of same appearance with same 7 of them being same weight how will u find the odd one out using weigh scale with just 2 chances?,Interviewed at Zoho,4.4,Data Analyst,19 Jun 2015,3
5 men 4 women  1arranged in a row 2men after each other,Interviewed at Zoho,4.4,Data Analyst,2 Dec 2017,3
"What makes you stand out from the crowd?
What motivates you?
Why a career in data?
Why Kubrick?
What's a recent news story in the commercial world?
Name 3 regulation laws in place
What do these abbreviations mean?",Interviewed at Kubrick Group,3.2,Data Governance Analyst,15 Dec 2018,3
Prepare a five slide deck of business insights from a set of their data.,Interviewed at Keap,3.5,Data Analyst,21 Dec 2017,3
"Suppose we have two variables, X and Y, where Y = X + some normal white noise. We regress Y on X, what will our coefficient be? Then we regress X on Y, what happens?",Interviewed at Upstart,3.4,Data Analyst,21 Dec 2019,3
"Brush up your reasoning skills 
Blood relations ,  Direction Sense.",Interviewed at GlobalLogic,3.9,Data Analyst,15 Jan 2014,3
Your experience with Excel and Access.,Interviewed at Red Bull,4.2,Sales Data Analyst,28 Jul 2017,3
A time that help someone on the team.,Interviewed at Capital One,4.0,Senior Data Analyst,8 Apr 2020,3
"SQL problem
easy programming language
a/b  test question
data insight question,",Interviewed at Wayfair,2.9,Data Analyst Intern,25 Oct 2018,3
Recall a time when you were under time pressure. How did you respond to it?,Interviewed at Accenture,3.8,Data Analyst,14 Dec 2012,1
There were several statistical questions and  sql tests.,Interviewed at Afiniti (Washington DC),3.5,Data Analyst,27 May 2020,3
General HR question like why u want to work in zoho? your aim? and some apps,Interviewed at Zoho,4.4,Data Analyst,6 Sept 2015,3
What skills do you process to be successful in this role?,Interviewed at Volkswagen Group,4.1,MI and Data Analyst,4 Jan 2016,3
what&amp;#039;s the angle of the 2 feet @ 3:15 on an analog watch.,Interviewed at Zynga,4.1,Data Analyst,21 Aug 2015,3
"Interview Questions were average on difficulty level if you put some thought to it. 
Screening rounds were more of question answers based where they gave you a problem and expected an answer.

Python:
Find the max no from the given set of elements in an array (without using max function)
Find the minimum absolute difference between the set of elements of an array. 
Python Coding Questions that involved a hashmap. Know your basics well
Print Max element of a given list
Print median of a given list
Print the first nonrecurring element in a list
Print the most recurring element in a list
HCF/Greatest common Factor of List
LCM of list   
	
Sql:
find the highest salary per department
Select employee from departments where max salary of the department is 40k
Select employee assigned to projects
Select employee which have the max salary in a given department
Select employee with second highest salary
Table has two data entries every day for # of apples and oranges sold. write a query to get the difference between the apples and oranges sold on a given day  	
Typical questions around Group by, Joins during screening round they used MYSQL so practice solutions with basic SQL as the version i was working on didn't support analytical functions or other advanced features.

Face To Face Rounds (Fullstack):
To begin I was asked about different metrics which could be reported given the dataset/information or scenario. Then interviewer picked up a metrics and asked to draw on whiteboard what kind of graph/chart will I use to display the information. Then going further asked about the table structures and data model which will be required to support the dashboard. Interviewer then provided the initial data set which is 1 case was a log file and in another some detail level tables,  I was asked to write a programming code to read, parse and load data to tables. Then along the way once we have our code tables and dashboard finalized i was asked to write SQL's for different steps in the whole pipeline.",Interviewed at Meta,3.9,Data Analyst,16 Dec 2016,3
"One of the questions from the second behavioral interviews: ""Tell us about a time (job-related) when you made an unpopular decision, and despite everybody's doubts, your decision turned out to be the right one.""",Interviewed at Capital One,4.0,Data Analyst,18 Aug 2013,3
Explain this call-center process on the sheet in front of you and potential improvements that can be made.,Interviewed at Capital One,4.0,Data Analyst,27 Sept 2013,3
"Prepare 6-7 situations for behavioral questions and be flexible if they questions is not asked in the way as you are prepared. Try to find the character they asked from your prepared examples. Cases are easy, if you make mistake and feel your answer is awkward, ask for help and modify your calc. I did make a mistake. It was a typo carried to next step's calc. And I found out and asked for help, and found out what's wrong with the formula I wrote.",Interviewed at Capital One,4.0,Senior Data Analyst,5 Mar 2014,3
Simple SQL questions,Interviewed at Shutterstock,2.9,Data Analyst,6 Jun 2016,3
"AC: Python test, dataflow efficiency test, group work",Interviewed at Bloomberg,4.0,Global Data Analyst,23 Jan 2019,3
"If you have a 5*5*5 cubic, what is the outside surface area?",Interviewed at Enova,3.6,Data Analyst,22 May 2012,3
If a plant grows twice the rate of what it grew the previous day then when will it reach half of its maturity height,Interviewed at KPMG,3.7,Data Analyst,28 Oct 2021,3
How would you explain customer LTV in the context of eHealth,Interviewed at eHealth,3.0,Data Analyst,18 Apr 2021,3
"A time you avoided an obstacle, A time you had to learn something new, Third one was something along the lines of: A time you had to request extra help to complete a project/task",Interviewed at Capital One,4.0,Data Analyst,2 Nov 2016,3
"case study: credit card insurance profit per customer

cost of mailing $0.5, response rate 1%, average balance per month $1000, 
insurance charges 1% of average balance monthly, customer claim rate 5% 
(once insured customer files a claim, the balance will be wiped and C1 
lose $1000). 

Question: profit per customer, graph claim rate vs response rate, graph profit vs response rate and find the response rate for maximum profit (r=1%)",Interviewed at Capital One,4.0,Senior Data Analyst,28 Apr 2011,3
Why don't you have kids?,Interviewed at AU Small Finance Bank,3.7,Data Analyst,22 Jan 2021,3
Please do this hands on work for Excel,Interviewed at MSX International,3.5,Data Analyst,14 Jul 2015,3
What's the difference between primary key and unique key,Interviewed at McKinsey & Company,4.1,Data Analyst,21 Apr 2017,3
What's your most accomplishment?,Interviewed at Spreetail,2.8,Data Analyst,29 Aug 2018,3
"Q. If you had to chose only one financial statement, which one would you choose?",Interviewed at Moody's,3.9,Financial Data Analyst,27 Jun 2017,3
"If a team has 60% win rate, would the team prefer a best of 11 or best of 21?",Interviewed at Riot Games,4.0,Data Analyst Intern,10 Apr 2017,3
"Originally asked: If the ratio of green to red is 2 to 7 and there are 70 total marbles, how many green are there?
Amended question after email: If the ratio of green to red is 2 to 7 and there are 70 red marbles, how many green are there?",Interviewed at Capital One,4.0,Data Analyst,8 Nov 2016,3
An ATM makes $2 per customer for 30% of its customers. Each time a customer uses the ATM it costs 2cents. The ATM servicing costs $3000. What is the break even point for this ATM?,Interviewed at Capital One,4.0,Senior Data Analyst,19 Nov 2016,3
"phone screening- Five 5th grade level mathematical questions 
Onsite interview- basic behavioral questions",Interviewed at Capital One,4.0,Senior Data Analyst,12 Nov 2015,3
what do you look for a company,Interviewed at Accenture,3.8,Data Analyst,26 Dec 2019,3
How can you deal with people who don't know the process.,Interviewed at Weston Foods,3.4,Senior Data Analyst,13 Apr 2023,2
"Tell me about yourself.
Past experience
What is your biggest challenge or difficult assignment.",Interviewed at New York City Department of Education,3.6,Data Analyst,3 Sept 2010,2
What is EBITDA?,Interviewed at CMC,3.8,Financial Data Analyst,15 Apr 2011,1
About the task I did,Interviewed at Nash Ventures (India),4.1,Data Analyst - Freshers,29 Apr 2018,2
When was a time you showed innovation in the workplace?,Interviewed at NHS England,3.7,Data Analyst,20 Jan 2021,2
Do you have experience in Hadoop?,Interviewed at TrialPay,3.3,Data Analyst,26 Jan 2017,2
"Suppose you were interviewed for a technical role. 50% of the people who sat for the first interview received the call for second interview. 95% of the people who got a call for second interview felt good about their first interview. 75% of people who did not receive a second call, also felt good about their first interview. If you felt good after your first interview, what is the probability that you will receive a second interview call?",Interviewed at Afiniti (Washington DC),3.5,Data Analyst,21 Oct 2019,2
"What's COPPA? 
What's UUID/idfa/VAST tag?
What's confidence interval? What's t-test? 
What is this SQL query doing? 

Give me an example that you promised to finish a task by a certain date but you failed to finish it on time.",Interviewed at Pluto TV,4.1,BI Data Analyst,5 Nov 2019,2
Have you ever worked wtih difficult people?,Interviewed at Inter Valley Health Plan,4.4,Data Analyst,6 Aug 2010,2
Past experience,Interviewed at Panasonic,3.7,Data Analyst,28 Apr 2015,2
what challenges of role and company and how do you help to overcome it,Interviewed at British Airways,3.7,Data Analyst,6 Sept 2018,2
"You need to collect weather data from across the United States, where would you place the sensors?",Interviewed at Bridgewater Associates,3.9,Data Analyst,12 Dec 2010,2
What are the skills you have?,Interviewed at Wragby Business Solutions & Technologies,3.1,Junior Data Analyst,19 Jul 2020,2
what is the purpose of your job,Interviewed at Fresher,3.9,Data Analyst,29 Jul 2022,2
"A client told us 400/1million of our customers will die in the next month. In the next month, 450/1million of our customers died. How do we assess whether or not the model is okay?",Interviewed at Upstart,3.4,Data Analyst,21 Dec 2019,2
Explain one time  that you faced a challenge at work. How did you handle it?,Interviewed at Sevenstep,3.8,Data Analyst,6 Feb 2019,2
"Take home assignment: analyze a dataset, gather insights around a few guiding questions, generate a deck and present in front of the team",Interviewed at Handshake,3.2,Data Analyst,29 Apr 2017,2
"Technical test:
Related to technical task that was performed and some moderation in that. Related to advance excel and sql queries",Interviewed at TravClan,3.6,Data Analyst,3 Sept 2022,2
"It was one of the question from the Tech interview, I don't remember it. It was something with a truck and a tunnel!",Interviewed at Zycus,3.4,Data Analyst,16 Nov 2013,2
"It was one of the question from the Tech interview, I don't remember it. It was something with a truck and a tunnel!",Interviewed at Zycus,3.4,Data Analyst,16 Nov 2013,2
Q1. Describe the multiple linear regression.,Interviewed at Sikka Software,3.4,Data Analyst Intern,18 Jul 2016,2
"Asked my ability to complete the tasks of the job, how I would complete them. Why are man hole covers round?",Interviewed at IEM,3.8,Data Analyst,15 Mar 2019,2
When would you use linear regression instead of logistic regression,Interviewed at Centene,3.7,Data Analyst IV,22 Dec 2016,2
"Look at this email this jerks sent me, what would you do about this?
(Guy actually shows me his Outlook In-box and lets me read a very demanding email from another department in the company.)",Interviewed at Constellation Brands,4.0,Database Analyst/Data Scientist,6 Sept 2016,2
Do you have a passion to work for this company?,Interviewed at Bloomberg,4.0,Data Analyst,7 Aug 2012,2
Your status and when you will be available.,Interviewed at UPS,3.5,Senior Data Analyst,17 Oct 2020,2
Find for each day what is the number of “Birds” (their product) what is the net PROFIT,Interviewed at Bird,3.6,Senior Data Analyst,12 Oct 2019,2
What does our market data analyst do?,Interviewed at Bloomberg,4.0,Market Data Analyst,13 Jan 2018,2
What is one issue with big data today? And how would you solve it?,Interviewed at Bloomberg,4.0,Market Data Analyst,20 Mar 2019,2
"What does the following code produce? 
Why Bloomberg?
Why are you interested in Finance?
What do you look for when you invest in a company? (I interviewed for the equities team)",Interviewed at Bloomberg,4.0,Global Data Analyst,15 Aug 2020,2
They gave me a hypothetical fantasy sports game and asked me to find the appropriate prize pool for the game,Interviewed at DraftKings,4.0,Business Data Analyst,10 Jul 2016,2
Question related to probability and statistics and about soft skills.,Interviewed at Mercer,3.8,Data Analyst,19 Mar 2023,2
What does coding challenge look like?,Interviewed at Capital One,4.0,Senior Data Analyst,17 Feb 2017,2
"Suppose you take out a loan of $3000 for 1 year. If the loan has an interest of 2% for the first 5 months and 14% for the rest of the year, how much interest will you have to pay by the end of the year?",Interviewed at Capital One,4.0,Senior Data Analyst,10 May 2017,2
Given a Data Challenge and was asked to solve using any technology,Interviewed at Capital One,4.0,Senior Data Analyst,17 May 2017,2
Check deposit case,Interviewed at Capital One,4.0,Senior Data Analyst,16 May 2017,2
"Nothing is unexpected, but you need be well prepared in order to show what you got in the way they are expecting.",Interviewed at Capital One,4.0,Senior Data Analyst,3 Sept 2013,2
"They did a case study about a call center of capital one with the data of ""Avg talk Time, ""abandon rate"" , and ""volume"" and told me to get the avg talk time for the whole week. . Froze up for a couple minutes than employer gave me a few hints on what to do",Interviewed at Capital One,4.0,Data Analyst,27 Feb 2013,1
what's your most proud project?,Interviewed at Capital One,4.0,Senior Data Analyst,25 Apr 2018,2
What does coding challenge look like?,Interviewed at Capital One,4.0,Senior Data Analyst,17 Feb 2017,2
"Suppose you take out a loan of $3000 for 1 year. If the loan has an interest of 2% for the first 5 months and 14% for the rest of the year, how much interest will you have to pay by the end of the year?",Interviewed at Capital One,4.0,Senior Data Analyst,10 May 2017,2
Given a Data Challenge and was asked to solve using any technology,Interviewed at Capital One,4.0,Senior Data Analyst,17 May 2017,2
Check deposit case,Interviewed at Capital One,4.0,Senior Data Analyst,16 May 2017,2
waiting for the round yet,Interviewed at Wayfair,2.9,Data Analyst,29 Oct 2019,2
How long would you stay with our company?,Interviewed at Accenture,3.8,Data Analyst ( Non Voice),2 Sept 2012,1
Do you know what a database is?,Interviewed at HSW International,3.0,Data Analyst Temp,13 Jun 2012,2
What are your weaknesses?,Interviewed at PPD,3.9,Clinical Data Analyst,2 Feb 2011,2
"Excel test, how have your past positions prepared you for this role",Interviewed at RiskSpan,4.0,Financial Data Analyst,25 Jun 2018,2
"online exam contians 4 sections 
SQL, Statastics, Reasoning, English",Interviewed at Alphonso Global Solutions,4.2,Data Analyst,18 Sept 2018,2
Tell us about about a challenging project that you've done.,Interviewed at More2,3.8,Graduate Data Analyst,8 Oct 2016,2
within the call she asked me about my experience,Interviewed at Careem,3.6,Data Analyst,15 Oct 2019,2
tell me about a challenging project you have done,Interviewed at 1010data,3.4,Platform Data Analyst,1 Jul 2017,2
Basic data questions that you can easily google,Interviewed at Media Reps,2.7,Data Entry Analyst,3 Oct 2019,2
How would you inspect if an agent comes and tells you that his transaction is not showing up in his profile?,Interviewed at Compass,3.8,Data Analyst,12 Jan 2021,2
Tell us something About yourself,Interviewed at Indika AI,4.0,Data Analyst,21 Oct 2021,2
why should we hire you?,Interviewed at Cogencis Information Services,3.2,Data Analyst,24 Jan 2017,2
A frog falls down a well of 50ft. Each day he climbs up 3 and each night falls down 2. How many days does it take him to get out?,Interviewed at FXDD,3.3,Junior Data Analyst,23 Aug 2011,2
"Basically, he asked how I can manage the quite volume of data and he said eventually he will ask me to manipulate the data, which requires skillful knowledge of Excel.",Interviewed at Hydraforce,3.5,Data Analyst,6 Jul 2018,2
The interviewer will go through a data project and ask you question later,Interviewed at Two Sigma,4.0,DATA RESEARCH and ACCELERATION ANALYST,4 Jan 2019,2
Why I should be hired over the other candidates; who my bank was; if the bank let me do online deposits.,Interviewed at Aqua Marketing and Communication,2.1,Data Analyst Intern,29 Jan 2021,2
Tell me about yourself and what motivated you to pursue your IT degree at Uni? What kind of job are you looking for?,Interviewed at Shopify,3.3,Data Analyst,10 Jan 2017,2
how many stairs you took to get at 10th floor,Interviewed at Aon,3.8,Data Analyst,6 Sept 2017,2
Excel sheets full of numbers. you are expected to identify the important issues in those sheets.,Interviewed at Comscore,3.6,Data Analyst,7 Dec 2010,2
"I have a strong intuition of knowing what needs to be done, but not always",Interviewed at Procter & Gamble,4.1,Data Analyst,15 Oct 2017,2
what is the capital city of new Zealand ?,Interviewed at Peroptyx,3.1,Data Analyst,16 Sept 2024,2
Q. Why do you think we should hire you?,Interviewed at Piramal Enterprises,3.7,Data Analyst,12 Dec 2022,2
A lot of strategic discussion of Gigeconomy and rideshare data strategizes.,Interviewed at Lyft,3.7,Data Analyst,19 Jan 2021,2
"Give me a list of drivers with a day on day decrease in completed rides, i.e drivers whose total number of completed rides ytd is less than the number of completed rides the day before",Interviewed at Grab,4.0,Data Risk Analyst,8 Aug 2016,2
What is array,Interviewed at C5i,4.3,Data Analyst,22 Aug 2018,2
Why are manhole covers round?,Interviewed at Enterprise Peak,3.4,Data Analyst,12 Aug 2016,2
How do you feel about data?,Interviewed at Swedish,3.7,Data Analyst,8 Sept 2010,1
"1.SQL where they test your SQL skill which I find easy to write. 
2. Entry level question about google BigQuery.
3. A/B test result analysis(used online tool to answer the result calculation).
4. Question about a gateway page campaign data set to analyze the campaign performance.
-What is A/A test?
-How would you make the performance of gateway page better.
and the most important question. do you really want to waste your time with this kind of company as i did?",Interviewed at TourRadar,4.0,Data Analyst,3 Jun 2022,2
How would you investigate a drop in user engagement,Interviewed at Postman,3.4,Data Analyst,16 Aug 2020,2
"- SQL: they use PostgreSQL,  asked something related to join, rank, group by, index
- Logistic related domain knowledge which is not my strength
- Behavioral questions",Interviewed at Zalando,3.6,Data Analyst,5 Aug 2020,2
Why do you want to join zalando?,Interviewed at Zalando,3.6,Data Analyst,30 Nov 2020,2
The details of your past projects,Interviewed at Tata Consultancy Services,3.7,Junior Data Analyst,11 Mar 2020,2
"- Qu'attends-tu de ton futur manager ? 
- Brain teaser 1 : Je vends le produit X au prix P. Si j'augmente le volume des ventes de ce produit de 30% et son prix de 20%, quel est le pourcentage d'augmentation de mon chiffre d'affaires ? 
- Brain teaser 2 : Il est 15h15. Quel est l’angle formé par les aiguilles de ma montre ?
- Brain teaser 3 : Combien de fois par jour les aiguilles d’une montre se chevauchent-elles ?",Interviewed at Manomano,3.9,Business Data Analyst,3 Dec 2019,2
Where do you find the GDP of country X on the internet?,Interviewed at Bloomberg,4.0,Global Data Analyst,1 Feb 2016,2
How many ping pong balls can you fit into a 747 jet?,Interviewed at Kearney,4.0,Data Analyst,18 Jun 2010,1
"4,23,68,101, (?)",Interviewed at Cargill,3.9,(Product Demand and Require) Data Analyst,14 Dec 2010,1
"Do you still want to be considered for the position, since I've decided to change it to something else?",Interviewed at National Grid,4.0,Senior Data Analyst,17 Oct 2020,2
Why are you interested in this position?,Interviewed at Agoda,4.0,Data Analyst,3 Jun 2024,2
Your past experience,Interviewed at Agoda,4.0,Data Analyst,16 Sept 2019,2
How many quarters at any given time are in a shopping mall how where are they located?,Interviewed at American Express,4.1,Data Analyst Business Systems,11 Dec 2019,2
"MySQL query (join, group by)",Interviewed at ByteDance,3.6,Data Analyst,7 Apr 2020,2
what do you know about internet advertisement?,Interviewed at Criteo,4.1,Senior Data Analyst,2 Sept 2017,2
What is leveraged buyout? & How is diluted EPS calculated.,Interviewed at S&P Global,4.1,Data Researcher/Content Analyst I,28 Oct 2018,2
What is your expectation for the salary?,Interviewed at Match,3.7,Senior Data Analyst,31 Jul 2018,2
Tell me about a time you...(behavioral),Interviewed at Capital One,4.0,Data Analyst Intern,11 Mar 2015,2
Tell me about a time you...(behavioral),Interviewed at Capital One,4.0,Data Analyst Intern,11 Mar 2015,2
"How to calculate the average number of people in one family member, after survey by a call?",Interviewed at Intuit,4.4,Data Analyst,18 Jan 2019,2
"1) What did you do in your last job(s)
2) What was the last book you read
3) What do you do during your free time.",Interviewed at Price Forbes & Partners,3.8,Data Analyst,15 Mar 2017,2
How do you understand energy efficiency?,Interviewed at Thinkeco,4.4,Data Analyst,7 May 2018,2
What is interchange?,Interviewed at Argus Information & Advisory Services,3.5,Data Analyst,7 Feb 2017,2
They ask me to do a tableau dashboard,Interviewed at Net eSolutions,3.4,Data Visualization Analyst,13 May 2018,2
"Explain linear regression
Explain machine learning and why it is important",Interviewed at Arzenovo Pharmaceutical,1.3,Data Analyst,14 Sept 2019,2
Vous recherchez exactement quoi aujourd’hui ?,Interviewed at Wyll,3.4,"Data Scientist, Data Analyst, Machine Learning Engineer",30 Jun 2021,2
Asked about specific skill sets with examples.,Interviewed at Evernorth,3.6,Data Analyst,23 Jun 2021,2
Tell me about yourself,Interviewed at Maples Group,3.5,Data Analyst,20 Mar 2019,2
what is your education background?,Interviewed at New Brunswick Government,3.8,Data Analyst,18 Jun 2017,2
There are n bulbs in a circle. Initially all are off. There are n switches in the same circle. Toggling one switch will toggle the state of the corresponding bulb and also toggle the state of each of the adjacent bulbs. In how many switch toggles will you be able to turn on all the bulbs?,Interviewed at AXA XL,3.8,Data Analyst,4 Sept 2019,2
"Success and Speed are highly correlated, we have a great model for it, there is a strong relationship between them. When we take a bunch of athletes and compare their success and speed, there is no relationship. Why is this?",Interviewed at Upstart,3.4,Data Analyst,21 Dec 2019,2
How would you go about modeling something?,Interviewed at Grubhub,3.4,Senior Data Analyst,9 Sept 2017,2
How would you evaluate whether a 50% rider discount is a good or bad thing?,Interviewed at Lyft,3.7,Data Analyst,16 Nov 2017,2
"What is the probability in a random sequence of H and T's, the subsequence HHT comes before HTT?",Interviewed at Lyft,3.7,Data Analyst,16 Nov 2017,2
