question,company,rating,position,date,comments
"- They asked the reason to apply for this position
- A question of given an array of arrays sorted all in a unique list",Interviewed at Meta,3.9,AI Resident,25 Nov 2023,1
What technologies did you work with?,Interviewed at Capgemini Engineering,3.5,Data AI Engineer,5 Jun 2024,1
what is your life goal,Interviewed at Genesys International,2.7,ML/AI Engineer,10 Jun 2021,1
What are the skills you want to bring to Centogene?,Interviewed at Centogene,2.9,AI Research Scientist,10 Dec 2020,1
Tell me about your project ?,Interviewed at Trutech Web Solutions,2.9,Java Developer-AI,5 Dec 2015,1
"Write a program to print the sum of all even numbers upto 100 but should not be divisible by 8,
Output: (2+4+6+10+12+14+16+20+....)",Interviewed at Trutech Web Solutions,2.9,Java-AI Developer,3 Dec 2016,1
"there were unable to articulate anything intelligent on even average level c++, nothing about boost or even stl, nothing on algorithms, nothing on software engineering and definitely nothing on ai, ml, cv or even qt",Interviewed at Beast Code,4.6,Senior Software Engineer/C++/AI/Ml/Qt,4 Nov 2019,1
"How are your skills in Machine Learning, specifically statistical machine learning?",Interviewed at Tau Research,5,AI and Backend Engineer,22 Jun 2022,1
Do you know anything about distributed computing?,Interviewed at Cruise,3.3,"Senior Manager, AI Recruiting",8 Dec 2021,1
"After being shown an electricity bill which was broken down into multiple categories, the question was to advise whether the control engineer should be concerned about limiting the peak demand energy consumption. Why or why not?",Interviewed at BrainBox AI,4.1,AI Controls Engineer,12 Feb 2022,1
Describe a technical difficulty you faced,Interviewed at Zikit,-0.10000000149011612,AI engineer,18 Sept 2022,1
"Backtracking, Linear Regression, Bias vs Variance.",Interviewed at Health at Scale Technologies,4.8,AI/ML Software Engineer,27 Feb 2021,1
Any questions ask from me,Interviewed at Axiata Digital Labs,3.8,AI Intern,5 Nov 2022,1
how to recognize very small objects,Interviewed at Silo AI,3.6,AI Engineer,29 Jul 2024,1
What are some of the architectures innovation is some of the best CNN models?,Interviewed at Adlytic,4.3,AI Engineer,23 Sept 2024,1
behavioural quesions and experience-based questions,Interviewed at Indigo AI,5,AI Researcher,21 Oct 2023,1
Real work: Asked to use chat GPT to generate SAT questions of varying difficulty covering linear algebra problems with two linear equations with two variables.,Interviewed at GT School,2.5,AI Prompt Engineer,2 Aug 2023,1
What is your previous experience in data science,Interviewed at Century 21,4.1,AI Intern,17 Aug 2024,1
Do you have some open repo?,Interviewed at Maisa,1,Senior Applied AI Engineer,30 Jul 2024,1
why did you choos ai,Interviewed at Logz.io,4.2,AI Developer,6 Aug 2024,1
"How do your skills in image generation software, particularly [Automatic 1111 web Stable Diffusion], contribute to your proficiency in creating AI art?",Interviewed at Totality Corp,4.4,AI Artist Prompt Engineer,4 Dec 2023,1
I was assigned to a project,Interviewed at AI2Cyber,5,AI/ML Engineer,16 Jul 2024,1
Basic questions aptitude and tell me about your self,Interviewed at rProcess,3.6,AI Data Annotator,22 Jul 2023,1
How Text to Speech works?,Interviewed at Prosa.ai,4.4,AI Engineer,5 Oct 2022,1
Technical questions on the real projects.,Interviewed at Imagine Ai,3.3,ML/AI Engineer,5 Aug 2022,1
Introduce yourself and something you're grateful for.,Interviewed at Mindful Agency,3.5,AI Chief Editor,1 Aug 2024,1
Tell about one ML algorithm for 30 minutes. Interesting approach!,Interviewed at Nebius,3.9,AI Engineer,9 Dec 2024,1
Tell me about your self?,Interviewed at PropertyLoop,4.5,Generative AI intern,15 Mar 2024,1
what are iterators and generators in python,Interviewed at iGenerate,4.4,AI/ML Engineer,29 Oct 2024,1
"Technical Exam:
what is cnn?
what is reinforcement learning?
what is supervised learning?",Interviewed at Information Technology Institute,4.2,AI Trainee,22 Oct 2021,1
"1. What Are the Common Uses and Applications of AI?
2. What Are Intelligent Agents, and How Are They Used in AI?
3. What Is Machine Learning, and How Does It Relate to AI? 
4. What Is Supervised Versus Unsupervised Learning?",Interviewed at Information Technology Institute,4.2,ML/AI Engineer,13 Dec 2021,1
LLM fine-tuning exercise on a big dataset,Interviewed at Satori Analytics,2.7,AI Engineer,4 Dec 2024,1
What's the use of doing this?,Interviewed at AU Optronics,3.6,AI Engineer,19 Jun 2024,1
How are you today? What is your name?,Interviewed at Random,4.2,AI Don't Care to Answer,18 Jun 2024,1
I was not asked any interview questions.,Interviewed at SuperAnnotate AI,4.7,Remote AI Trainer,3 Nov 2024,1
"This role is new, and you'll be charting your own path forward.  How do you deal with ambiguity?",Interviewed at DataRobot,3.6,AI Academic Partnerships Director,9 Feb 2022,1
"Have you worked for Bain, McKinsey, or BCG?",Interviewed at DataRobot,3.6,AI Success Director,5 Sept 2019,1
Question pattern for this exam is below,Interviewed at AVASOFT,3.2,AI/ML Engineer,19 Sept 2024,1
"A = [1,2,3,4] B = [3,4,5,6] get all elements of A that are not in B",Interviewed at GE,4,AI Developer,2 Feb 2023,1
Tell me about your experience managing a worldwide team.,Interviewed at Hyperscience,3.3,Vice President Machine Learning & AI,9 Dec 2020,1
What research topics are you interested in?,Interviewed at Samsung Electronics,3.7,AI Research Intern,4 Dec 2020,1
Why did I leave my current company?,Interviewed at Workforce Optimizer,2.3,"AI and Optimization Leader, Senior Innovation Engineer",26 Oct 2021,1
Tell us some previous projects you did before,Interviewed at Honeywell,4.1,Advanced AI Engineer,1 Mar 2022,1
"Ternary search question (take yourself any f(x) and find minima).
ML concepts from my resume projects.",Interviewed at LinkedIn,4,AI/ML Engineer Intern,2 Aug 2024,1
On what all platforms you worked ?,Interviewed at Freedom Property Investors,4,AI Developer,22 Oct 2024,1
Find repeats in an integer list.,Interviewed at Google,4.3,AI Fellow,1 Sept 2020,1
"code questions:

listL=[[1,2, 3],[4, 5],[6 ,7 ,8 ,9 ,10]]
expected output: 6 9 40

follow up to print sum columns. I explained my approach to it.",Interviewed at Genesys,4.2,AI/ML Engineer,5 Jul 2024,1
Explain a project where you implemented a machine learning model.,Interviewed at Google,4.3,AI Engineer,9 Jan 2025,1
What does this random chunk of code do?,Interviewed at Novarad,2.3,ML/AI Internship,23 Feb 2024,1
How can you handle different resolution images in ViT?,Interviewed at Fujitsu,3.6,AI Researcher,30 May 2024,1
Binary Tree traversal based question,Interviewed at Bloomberg,4,AI Research Scientist,11 Aug 2020,1
Binary Tree traversal based question,Interviewed at Bloomberg,4,AI Research Scientist,11 Aug 2020,1
Tell me about yourself and walk me through your background,Interviewed at Blend360,4,AI Change Management Consultant,19 Feb 2025,1
"Approximately: 

1. Compute the number of possible unique groups of people of 3 from W women and M men with the diversity requirement: at least one man and one woman in the group.

2. Given a string of bars and stars and list of intervals, compute the number of stars between two bars on each interval.

3. Given matrix representing the relation between people, compute groups of people that know each other. 

4. Given a graph representing people and edges representing interests that they share, find pair of people sharing most of interests.",Interviewed at GSK,4.1,"AI/ML Engineer, Biomedical AI",30 May 2022,1
what methods can be used to assess the performance of a machine learning model?,Interviewed at Yell,3.3,AI Conversational Analyst,28 Apr 2022,1
To complete the prescreening assessment.,Interviewed at Onelab Ventures,4.3,AI/ML Engineer,17 Mar 2025,1
They asked me to go over my responses to their questions and explain why.,Interviewed at Argus Media,3.9,Software Engineer (ML/AI),25 Aug 2021,1
Can you submit your resume?,Interviewed at Outlier AI,3.2,AI Trainer,15 Nov 2024,1
My favorite local tradition from my country,Interviewed at Outlier AI,3.2,Remote AI Trainer,17 May 2024,1
what is your favorite tradition?,Interviewed at Outlier AI,3.2,Remote AI Trainer writer,1 Jul 2024,1
Very redundant questions about my skills.,Interviewed at Outlier AI,3.2,AI Trainer,8 Aug 2024,1
What do you know about the possition?,Interviewed at Apple,4.1,AI/Siri Annotation Analyst,8 Apr 2021,1
"There was a dataset example and the questions were around that problem. For example, the type of ML algorithm appropriate for that dataset, type of metrics should be used, supervised unsupervised and many other details. The questions were reasonable and the timing was also good. I ran out of time for the programming section. It should be easier for a very experienced programmer. The programming part required me to have a lot of practice beforehand and be very fast to develop my approach and implement it. Use Hackerrank for practice and preparation. I believe it can be very helpful.",Interviewed at Ericsson-Worldwide,4,Data Scientist(S)- MI and AI,22 Jun 2019,1
Questions related to English and another language.,Interviewed at Invisible Technologies,3.8,Advanced AI Trainer,12 Sept 2024,1
tell me about 2 truth and a lie you wrote in your resume and why ?,Interviewed at Invisible Technologies,3.8,Advanced AI Data Trainer,24 Sept 2024,1
What are the storage devices and tell about SSD and HDD,Interviewed at NetApp,4.1,AI Intern,22 Apr 2024,1
What new product would you create for Datadog?,Interviewed at Datadog,4,Director of AI,13 Nov 2024,1
"What is your level of knowledge and experience with APIs, and JS fundamental questions and DSA related questions, Also about the approach i used during snap in assignment.",Interviewed at DevRev,4.4,Applied AI Engineer,4 Jul 2024,1
Selection criteria in selecting a model.,Interviewed at U.S. Bank,3.5,Senior AI Product Manager,17 May 2024,1
What is the meaning of RAG?,Interviewed at Cognizant Technology Solutions,3.6,Generative AI developer,3 Jan 2024,1
Tell me about machine learning,Interviewed at NVIDIA,4.5,DevRel-AI,13 Oct 2017,1
Describe models worked with so far,Interviewed at Deloitte,4,2021 Machine Learning and Applied AI Summer Associate,9 Nov 2022,1
How to process several images captured by a camera and identify which ones were of drones,Interviewed at Lockheed Martin,4.1,A/AI Machine Learning Engineer Stf,15 Feb 2022,1
How to implement Virtual members from the compiler point of view.,Interviewed at NVIDIA,4.5,AI Software Developer Engineer,4 Mar 2019,1
Do you smoke? Do you drink?,Interviewed at Mixvoip,3,ML/AI Engineer,20 Sept 2023,1
What are some specific skills or experiences that make you a good fit for the new role?,Interviewed at Accenture,3.8,AI Prompt Engineer,29 Jan 2024,1
"Do you have experience with using any cloud service, like Aws or Azure?",Interviewed at Accenture,3.8,AI consultant,30 Jan 2025,1
Asked about my manufacturing and operations background in aerospace,Interviewed at Spaceflight,3.6,AI&T Engineer,6 Jun 2020,1
What was your JEE rank?,Interviewed at Moonraft Innovation Labs,4,AI Research Intern,27 Nov 2023,1
"Can you show us what have you done
(check the structure of the project)",Interviewed at Alter Learning,3.2,AI Developer,9 Sept 2024,1
What field do you want to work in,Interviewed at Ai Automotive,3.6,AI Developer,23 Jun 2018,1
Describe the project that I had on my GitHub page,Interviewed at The MAMA AI,5,AI Researcher,31 Jan 2023,1
asked to introduce me. then there was the technical round. and then questions were asked from my resume.,Interviewed at Avo Automation,4.1,AI Backend Developer Intern,24 Apr 2024,1
"Talk to me about yourself.
What is a stock for you?
How do you invest capital?
What is the main reason people rescind the amazon prime contract?",Interviewed at MDOTM,3.9,Junior ML/AI Engineer,10 Feb 2021,1
"None. Nobody called. I blocked time in my calendar, waited for the call and.... nothing.",Interviewed at MOQdigital,3.7,Technical Presales - Data & AI,19 Aug 2022,1
"NLP, DFS, Markov Chain",Interviewed at Nuance,4,AI Researcher Intern,30 Oct 2018,1
"Tell me about yourself, Tell me about your project.",Interviewed at Cloud Analogy,4.2,AI/ML Engineer,13 Jul 2023,1
"The Interviewer asked about basic Deep learning concepts and architecture like gradient descent, CNN's etc. How to avoid overfiiting, data augmentation  and basic ML and DL concepts. Andrew NG course was also something we discussed about.",Interviewed at Totality Corp,4.4,Python & AI/ML Developer - Intern,20 Nov 2023,1
"Experience-based questions on Model performance and deployment, mainly.",Interviewed at Vio.com,4.5,AI/ML Engineer,26 Jul 2021,1
reverse the string without space and use an O(1) computational time.,Interviewed at G2i,3.2,ML/AI Engineer,11 May 2024,1
They asked me about Capital of uzbekistan,Interviewed at Gulf Air,3.7,AI Expert,6 Jan 2025,1
what is convolutional neural network (CNN) ?,Interviewed at Being Ambitious,3.8,AI/ML Intern,26 Dec 2024,1
How to boost training accuracy and reduce model complexity,Interviewed at Chunghwa Telecom,3.8,AI Engineer,30 Jun 2021,1
what are the applications of ai,Interviewed at Techment,3,AI Data Annotator,14 Sept 2021,1
Have I had any previous experience?,Interviewed at Ottometric,-0.10000000149011612,AI Data Annotator,21 Feb 2025,1
"what's you name ?
Brief Introduction ...
Basics on AI/ML 
explain old project etc etc",Interviewed at Bauhaus,3.3,AI/ML Engineer,6 Jul 2022,1
Q: Tell me about a recent project of yours.,Interviewed at EduRev,3.5,AI Training Intern,16 Nov 2024,1
"They asked a question which almost every ai ml interviewer will ask that was the difference between AI ,ML and DS.",Interviewed at iGenerate,4.4,AI/ML Engineer,12 Jan 2025,1
"Machine learning related questions
OpenCV 
Image Processing",Interviewed at RnPsoft,3.3,AI/ML Intern,17 Oct 2024,1
Nothing because it was only technical,Interviewed at Receptionist and Staff Resources,4.1,AI / ML Developer,21 Sept 2023,1
What is AI? Are you comfortable with working on NSFW content?,Interviewed at Innodata,3.5,Analyst - AI / LLM Practice,18 Oct 2024,1
What is AI? Are you comfortable with working on NSFW content?,Interviewed at Innodata,3.5,Analyst - AI / LLM Practice,18 Oct 2024,1
how you understand the ai?,Interviewed at Alice,4,AI Developer,26 Jun 2024,1
What have you done with LLM's?,Interviewed at Mindlance,4,AI -Data Scientist Senior (,7 Dec 2024,1
What are the projects you have done related to AI,Interviewed at ABC,3.9,AI Engineer,8 Feb 2023,1
General assessment of English Language Skill,Interviewed at OUTLIER,3.4,Remote AI Trainer,20 Oct 2024,1
Where do you see yourself in 5 years?,Interviewed at ATS Corporation,3.7,AI/ML Engineer,9 Oct 2020,1
The different types of machine learning are?,Interviewed at AVASOFT,3.2,AI/ML Trainee,18 Oct 2024,1
1. How to do task X in sport Y broadcast feeds? How to generalize it to other sports? And some detailed questions about the steps that one takes to solve the challenge.,Interviewed at SportLogIQ,3.6,Senior AI Researcher,8 Feb 2023,1
"Binary Search.
Cycle detection in Linked list.",Interviewed at Qure.ai,4,ML/AI Engineer,24 Dec 2020,1
"Introduce, complete questions given in google form, how would you evaluate a model.",Interviewed at x.ai,4.3,AI Tutor,3 Aug 2024,1
What are the various models you know of that clusters time series,Interviewed at SAP,4.2,AI Scientist,2 Oct 2024,1
They  first asked about my personality and skills learned in college.,Interviewed at ACA Compliance Group,3.2,AI/ML Intern,18 Jul 2024,1
Technical round was about showcasing data science skills for iris dataset classification online. Interviews were mostly on previous work exp.,Interviewed at Samsung R&D Institute India - Bangalore,3.6,ML/AI Expert,26 Sept 2023,1
Your basic information and rates,Interviewed at RWS Group,3.5,AI/ML Trainer,26 Sept 2023,1
Tell us a little bit about yourself.,Interviewed at Scale,3.3,Remote AI Trainer,7 Apr 2024,1
No Interview. Got 3 real work assessments to redesign their org and to develop a prototype for ai-based application and AI-based automated testing of those.,Interviewed at Crossover for Work,3.8,SVP of AI,12 Sept 2023,1
What are your hourly rates?,Interviewed at iMerit,3.7,Freelance AI Trainer,16 Jul 2024,1
Tell me about your self? What you know about Ai? What is your expectation salary?,Interviewed at iMerit,3.7,AI Data Annotator,25 Nov 2022,1
"1) Educational qualification 2) Purpose/ role in any firm 3) Basic general knowledge/ relevant topics pertaining to AI 4) Brainstorming over making flowcharts, designing conversation with the flowcharts and editing sentences in different tones.",Interviewed at Avaamo,4.5,AI Conversation Designer,1 Aug 2023,1
How do you join two data sets?,Interviewed at NeuraFlash,4.7,AI & Data Analyst,10 Jan 2022,1
Got a test...,Interviewed at JustAnswer,4.3,Director of AI Content,14 Dec 2017,1
Kubernetes related questions and concepts.,Interviewed at IBM,3.9,AI Engineer Watson AIOps,27 Jul 2021,1
How many maternity beds are there in the UK?,Interviewed at IBM,3.9,Associate Consultant - AI,22 Mar 2023,1
"If the deep learning model now achieves 99% accuracy on a test set, is that good or bad?",Interviewed at IBM,3.9,AI Associate Consultant,28 Mar 2023,1
"If you have a deep learning model for anomaly detection that achieves 100% accuracy on a training set, is that good or bad?",Interviewed at IBM,3.9,AI Associate Consultant,28 Mar 2023,1
"Q. How will you check the downtime, storage, etc of the AWS machines?",Interviewed at Peak,3.7,AI Engineer,21 Sept 2020,1
Tell me about yourself?,Interviewed at Tech Mahindra,3.5,Software Engineer (ML/AI),12 Dec 2018,1
data Science Stats and Maths based questions.,Interviewed at TÜV SÜD,3.7,AI/ML Engineer,25 Jul 2023,1
"How does Conv2D work?
Hackerrank coding questions, 2 hard arrays",Interviewed at Munich Re,4.1,AI/ML Engineer,17 Jan 2024,1
What's is data binning in data science.,Interviewed at Rapyder,4.1,AI/ML Engineer,1 Feb 2023,1
What year are you in uni,Interviewed at Nokia,4,Video interpreter using ai,6 Dec 2024,1
What are the company values,Interviewed at Covalen Solutions,2.6,Generative AI Annotator,28 Sept 2024,1
How much do you know about UiPath?,Interviewed at UiPath,3.8,AI Specialist,13 Jul 2023,1
What are smart pointers? What are static functions?,Interviewed at Samsung Semiconductor Inc (US),3.9,"Principal Engineer, AI/ML Software Compiler",5 Sept 2024,1
How do you deal with inconsistency in your own work?,Interviewed at Apple,4.1,AI/ML Annotation Analyst,18 Feb 2022,1
"Q. Going over my resume and asking me questions.
Q. Favorite class and least liked class in undergraduate.
Q. Tell me about yourself",Interviewed at Apple,4.1,AI/ML Engineer,14 Jan 2022,1
Types of learning in machine learning?,Interviewed at Viitorcloud Technologies,4.3,AI/ML Engineer,30 Dec 2024,1
Which is your favorite Italian tradition?,Interviewed at Outlier AI,3.2,AI Writer,18 Apr 2024,1
They asked me if I was up to the task of becoming a Math AI Trainer. I accepted the offer they gave me and that was it.,Interviewed at Outlier AI,3.2,Remote AI Trainer,7 Mar 2025,1
Tell us about yourself and your hobbies.,Interviewed at Outlier AI,3.2,AI Trainer,27 Aug 2024,1
Do you meet the language requirements,Interviewed at Outlier AI,3.2,AI Trainer,20 Aug 2024,1
they asked about my skills.,Interviewed at Outlier AI,3.2,AI Trainer,2 Sept 2024,1
Which of the following functions is the best?,Interviewed at DataAnnotation,4.1,Software Developer - AI Trainer,22 Feb 2025,1
What u gonna choose between NLP and Computer vision,Interviewed at Techolution,3.8,AI Intern,5 Jun 2024,1
