id,freq,name
nm0107495,1,Matthias Brenner
nm0229930,1,Peter Dobson
nm0001728,3,Wallace Shawn
nm0821543,1,Enzo Staiola
nm0001140,1,Philip K. Dick
nm0993242,1,Clémence Poésy
nm0684187,1,Joe Pingue
nm0471389,1,Jayant Kripalani
nm0614285,1,Gerard Murphy
nm0000312,1,Amy Brenneman
nm2887354,1,Girija Oak
nm0001397,1,Brion James
nm0331956,2,Carl Gottlieb
nm0000092,4,John Cleese
nm0000707,1,Sean Young
nm6003177,1,Mister Mackey Jr.
nm0272527,1,Mark Ferguson
nm0596350,1,Fana Mokoena
nm0007958,1,Diahnne Abbott
nm0001765,3,Harry Dean Stanton
nm0001260,1,John Gavin
nm0440511,1,Daniel Kash
nm0000352,1,Vincent D'Onofrio
nm2676147,1,Jonathan Groff
nm0818274,1,Wendie Jo Sperber
nm0461136,1,Keira Knightley
nm0000279,1,Hank Azaria
nm0001766,1,Barbara Stanwyck
nm0000100,1,Rowan Atkinson
nm0048147,1,Richard Bakalyan
nm0005204,1,Paul McCrane
nm0445316,1,Warren Keith
nm0466099,1,Alexander Korda
nm0104114,1,Richard Brake
nm8388409,1,Sky Alexis
nm0237838,2,Julie Dreyfus
nm1010405,1,Nick Schenk
nm0837503,1,Haruko Sugimura
nm0528373,1,Ken Lynch
nm0001971,2,Ewen Bremner
nm0175075,1,Jane Connelly
nm2831082,1,Jack Bird
nm0002103,2,Julian Glover
nm0001445,1,Martin Landau
nm0000811,1,Frankie Avalon
nm0579159,1,Michael Mendl
nm3085077,1,Sam Sheridan
nm5681790,1,Jacob Warner
nm0837420,1,Bunta Sugawara
nm0704859,1,Kazimir Rabetsky
nm0614730,1,Steve Murphy
nm0042317,3,Albert Austin
nm4759838,1,Mone Kamishiraishi
nm1221253,1,Dimiter D. Marinov
nm0936072,1,Dale Winton
nm0108040,1,Siegfried Breuer
nm0139380,1,John Carpenter
nm7402413,1,Yôhei Namekawa
nm0821504,1,Ernst Stahl-Nachbaur
nm0222447,1,Chunibala Devi
nm3214286,1,Xia Soua Chang
nm0928630,1,Shane Wilder
nm11314494,1,Ok-joo Lee
nm3892241,1,Kim Tae-ri
nm0000107,1,Kim Basinger
nm0157133,1,Shigeru Chiba
nm0076780,1,Daniel Bernhardt
nm0006762,1,Saeed Jaffrey
nm0888349,1,Philip Van Zandt
nm0104180,1,Martin Brambach
nm0669629,1,Bob Peck
nm0251059,1,Shannon Egleson
nm0332221,1,Lloyd Gough
nm1126657,1,George MacKay
nm0001294,1,Graham Greene
nm0706368,1,George Raft
nm0365383,1,Thomas Harris
nm0121386,1,Arthur Burghardt
nm0000191,1,Ewan McGregor
nm1099210,1,Josep Palau i Fabre
nm0437520,1,Nobuo Kaneko
nm0751902,1,Robert Ruth
nm7621667,1,Sanya Malhotra
nm0383554,1,Richard Higgs
nm0354430,1,Mohammad Haj-Hosseini
nm0326040,1,Akiva Goldsman
nm5626435,1,Guru Somasundaram
nm1011383,1,Amardeep Jha
nm0607185,1,Jennifer Morrison
nm2346179,1,Anthony Escobar
nm1750699,1,Wayne Canney
nm0269537,1,Jesslyn Fax
nm0363948,1,Robert Harper
nm5555784,1,Finn Carr
nm0254760,1,Chris Ellis
nm0910607,2,Christoph Waltz
nm0052334,1,Karuna Bannerjee
nm1242048,1,Mariane Plasteig
nm0160696,1,James V. Christy
nm0717810,1,Bill Reimbold
nm0000553,2,Liam Neeson
nm0671721,2,Austin Pendleton
nm0139107,1,François Caron
nm0137046,1,Timothy Carey
nm0225332,1,Kim Dickens
nm0718604,1,Otto Reiter
nm0000454,2,Dennis Hopper
nm0172615,2,Ray Collins
nm0569336,1,Sean McGinley
nm10711826,1,Spike Leighton
nm0047146,1,Barbara Bailey
nm0842137,1,Joseph Sweeney
nm0000168,4,Samuel L. Jackson
nm0001727,2,Robert Shaw
nm0000155,1,Whoopi Goldberg
nm0216566,1,Paul Delauzac
nm0602071,1,Margo Moorer
nm0166470,2,Carol Cleveland
nm0325743,1,Bo Goldman
nm0216507,1,Brian Delate
nm0115690,1,Karl Bruckschwaiger
nm0338169,1,Michael Green
nm0938950,1,Benedict Wong
nm0122769,1,Louise Burns
nm0240606,1,Quinn Duffy
nm0841501,1,Mack Swain
nm0035138,1,John Arledge
nm0001067,1,Jackie Coogan
nm0614075,1,Alec Murphy
nm0106295,1,Margaret Brayton
nm0173257,1,Sydney 'Big Dawg' Colston
nm0032370,2,Noel Appleby
nm1206094,1,Terry
nm0141816,1,Michael Carter
nm2535022,1,Philip King
nm0450810,1,Evelyn Keyes
nm0695177,1,Prakash Raj
nm11212400,1,Lexie Holland
nm0562679,3,Peter Mayhew
nm0001773,1,David Ogden Stiers
nm0914485,1,John M. Watson Sr.
nm3529046,1,Lexi Cowan
nm0781245,1,Bahare Seddiqi
nm0791502,1,Paul Shenar
nm3024139,1,James O'Neill
nm0000657,1,David Strathairn
nm2961388,1,Stephen Dunlevy
nm0779685,1,Randolph Scott
nm0317970,1,Billy Gilbert
nm0553887,1,Al Martino
nm0269021,1,Kent Faulcon
nm0120674,1,Sonny Bupp
nm1190376,1,Anthony Molinari
nm0639928,1,Brían F. O'Byrne
nm1188980,1,Giovanni Corporale
nm5511483,1,Absa Diatou Toure
nm2244205,1,Léa Seydoux
nm0650969,1,Dyana Ortelli
nm0308177,1,Oliver H.P. Garrett
nm0762153,1,Miguel Sandoval
nm0174403,1,Kerry Condon
nm0569547,1,Barry McGovern
nm0749021,1,Kristin Rudrüd
nm1337350,1,Jay Ellis
nm0672225,1,Bob Penny
nm1644112,1,Michael Cyril Creighton
nm0005994,1,Hoagy Carmichael
nm0309107,2,Tatsuya Gashûin
nm0924487,1,Barbara White
nm0226495,1,Peter DiGesu
nm0079645,1,Billy Bevan
nm0262635,2,Chris Evans
nm0236049,1,Heather Downham
nm0001186,2,Denholm Elliott
nm0542278,1,Erni Mangold
nm0000186,2,David Lynch
nm0853392,2,Jun Tazaki
nm0370632,1,Koba Hayashi
nm0444172,2,Joe Keaton
nm4430335,1,Jarin Towney
nm0037625,1,Antonin Artaud
nm0376046,1,Martin Hemme
nm0829815,1,Sara Stewart
nm0286927,1,Mitsuko Forstater
nm0430460,1,Victor Jory
nm0048417,2,Eddie Baker
nm0176846,1,Jack Coogan Sr.
nm0449534,1,Bruce M. Kerner
nm8624891,1,Ravi Aneja
nm0520859,1,Livio Lorenzon
nm0120116,1,Jeremy Bulloch
nm0000436,2,Curtis Hanson
nm0938176,1,Stuart Wolfenden
nm0132168,1,John W. Campbell Jr.
nm0240239,1,William Duell
nm1372922,1,Richard Pyros
nm0784000,1,Bilge Sen
nm5730649,1,Lewis Pullman
nm1279616,1,Ben Harlan
nm0806689,1,Patsy Smart
nm0759031,1,Gino Saltamerenda
nm7573140,1,Franz Balluck
nm0002233,1,Erich von Stroheim
nm0139370,1,Jeanne Carpenter
nm1625564,1,Evelio Larenagas
nm0564500,1,Richard McCabe
nm0800047,1,Abe Simon
nm0653942,1,Frank Overton
nm0533665,1,Andrew MacLachlan
nm0929609,1,Fred Willard
nm0093769,2,Fortunio Bonanova
nm0752699,1,Mark Ryan
nm0010696,1,Ales Adamovich
nm3170830,1,Krzysztof Soszynski
nm12329618,1,Teruhisa Harita
nm0938372,1,Donald Wolfit
nm0453115,1,Taran Killam
nm0962577,1,Jessica Kate Meyer
nm0195311,1,Joe D'Angerio
nm0000606,1,Jean Reno
nm0218731,1,Jerome Dempsey
nm0207401,1,Piero De Bernardi
nm0000348,1,Tony Curtis
nm12214775,1,Han-sun Jang
nm0090008,1,Stanley Blystone
nm0113184,1,Charles D. Brown
nm0863193,1,Zeffie Tilbury
nm1002038,1,Çetin Tekindor
nm0519765,2,Theodor Loos
nm0740283,1,Abbas-Ali Roomandi
nm1856097,1,Cho Yeo-jeong
nm0774516,1,David Schofield
nm3146066,1,Brooke Chia Thao
nm0078044,1,Aldo Berti
nm7955709,1,Si-eun Kim
nm0545298,1,Fredric March
nm0002011,3,Lee J. Cobb
nm0000982,1,Josh Brolin
nm0258423,1,Alvin Epstein
nm0020717,1,Keith Allen
nm0615249,1,Rodrigo Murray
nm0122653,1,Edward Burns
nm0000814,1,John G. Avildsen
nm0682757,1,Frank Pierson
nm8784422,1,Oliver Marks
nm0623762,1,Christopher Neame
nm0403634,1,Pat Hurst
nm0343165,1,Winston Groom
nm0001606,1,Chris Penn
nm0542721,1,Dieter Mann
nm0071160,1,Ted Beniades
nm0001772,1,Patrick Stewart
nm0853079,1,Robert Taylor
nm0829685,1,Monty Stuart
nm0645537,1,Heihachirô Ôkawa
nm1028059,1,Marta Belfort
nm0934750,1,William Windom
nm0317725,1,Ariadna Gil
nm2488633,1,Laura Chinn
nm0930239,1,Charles Williams
nm0212246,1,Christopher De Vore
nm0623505,1,Jeremiah Ndlovu
nm0408343,2,Yoshio Inaba
nm0000005,6,Ingmar Bergman
nm1801406,1,Kgomotso Seitshohlo
nm0005078,1,Stacy Keach
nm3102089,1,Rob Degnan
nm10504250,1,Carrie Louise Putrello
nm2871429,1,Sydney McCallister
nm0135679,1,Eolo Capritti
nm0002081,1,Edward Fox
nm0140890,1,Larry Carroll
nm0819525,2,G.D. Spradlin
nm0000362,2,Danny DeVito
nm0291068,1,Richard Frank
nm0001050,2,Montgomery Clift
nm0254402,1,Chris Elliott
nm2356963,1,Bea Miller
nm0550855,1,E.G. Marshall
nm0533599,1,Steven Mackintosh
nm0927145,1,Ellen Widmann
nm0167156,1,Lisa Cloud
nm0857147,1,Torin Thatcher
nm0085499,1,Samuel Lord Black
nm0368074,4,Shinobu Hashimoto
nm1249574,1,Phellipe Haagensen
nm0690597,2,Gillo Pontecorvo
nm0850183,1,Tarako
nm0036307,1,Jacques Arnna
nm0262595,1,Bruce A. Evans
nm0064194,1,Bunny Beatty
nm0672190,1,Michael Pennington
nm0862026,1,Ingrid Thulin
nm0543963,1,Arash Mansour
nm1323233,1,Mustafa Kamel
nm0104594,2,Larry Brandenburg
nm1232001,1,Juanjo Cucalón
nm0593775,3,Thomas Mitchell
nm0498834,1,Meg LeFauve
nm2182458,1,Seung-mok Yoo
nm1091701,1,Denzel Whitaker
nm0000132,1,Claire Danes
nm0381041,1,Harold G. Herthum
nm0211599,1,Pietro De Silva
nm0000002,1,Lauren Bacall
nm4723252,1,Shirin Azimiyannezhad
nm0001608,2,Barry Pepper
nm1419440,1,Ivana Baquero
nm0647970,1,Nancy Olson
nm0677037,6,Bob Peterson
nm0513130,1,Paulo Lins
nm0409287,1,Kazuhiko Inoue
nm0753249,1,Florence Ryerson
nm0485272,1,Charles Lane
nm0319268,1,Ann Gillis
nm0861151,1,Cameron Thor
nm0906301,1,Robert Wahlberg
nm2319871,1,Anna Camp
nm0001473,1,Laura Linney
nm0001845,1,Forest Whitaker
nm0270383,1,Russ Fega
nm0434759,1,Wolf Kahler
nm0748620,1,Paul Rudd
nm0006670,1,Paul F. Tompkins
nm0461425,1,Frederick Knott
nm0448590,1,Ken Kenny
nm0124579,1,Humberto Busto
nm1300254,1,Binnur Kaya
nm0039784,1,Joachim Paul Assböck
nm0376602,1,Shirley Henderson
nm0225734,1,Brenda Dickson
nm0189496,1,Russel Crouse
nm0005017,1,Katie Holmes
nm0533045,1,Marion Mack
nm0000131,1,John Cusack
nm0001647,3,Claude Rains
nm0785227,2,Andy Serkis
nm0657597,1,Ugo Paletti
nm0885014,1,Nick Vallelonga
nm0907170,1,Otto Waldis
nm0437128,1,Richard Kanayan
nm0404360,1,Josephine Hutchinson
nm0191950,1,Robert Cummings
nm3582089,1,Carlos Martínez López
nm0851311,1,Naoki Tatsuta
nm0700869,1,Amrish Puri
nm3797160,1,Tae-ho Ryu
nm0546017,1,Nick Marcq
nm0605992,1,Christian Moro
nm0644905,1,Tae-kyung Oh
nm0916088,1,Des Webb
nm0794658,2,Samia Shoaib
nm0442022,1,Cristen Kauffman
nm0132808,1,Rob Campbell
nm0242562,1,Emma Dunn
nm4689420,1,Carrie Coon
nm5016878,1,Jacob Tremblay
nm0000297,2,Tom Berenger
nm0103988,1,Penny Brahms
nm1412974,1,Glen Powell
nm0462321,1,Howard Koch
nm0001475,1,John Lithgow
nm0917837,1,Paul Weigel
nm0412917,1,Jaaved Jaaferi
nm1138201,1,Jae-ho Song
nm0001492,1,Kyle MacLachlan
nm0156928,4,Minoru Chiaki
nm0654648,1,David Oyelowo
nm0793363,1,James Shigeta
nm0550371,1,Eddie Marsan
nm0001190,3,David Prowse
nm0004742,1,Maria Bello
nm1542266,1,Joe Bricher
nm4841009,1,Chaouki Charbel
nm0439001,1,Kym Karath
nm0074636,1,Dan Bergin
nm0107573,1,Eve Brent
nm1179580,1,Seu Jorge
nm0445479,1,Chris Kell
nm0917570,1,Brenda Wehle
nm0355083,1,Brian Haley
nm6850010,1,Juan Santiago Linari
nm2745297,1,Kara Wang
nm0001124,1,Cecil B. DeMille
nm0186677,1,Lorella Cravotta
nm0004423,1,Gerry Robert Byrne
nm0045993,1,Bolaji Badejo
nm0524197,2,Josh Lucas
nm0625180,1,Billy Nelson
nm0019885,1,Roger Allam
nm0001379,3,John Huston
nm0123738,1,Terrence Burton
nm0614165,3,Cillian Murphy
nm0334882,1,Darío Grandinetti
nm0939992,1,Sam Wood
nm0770938,1,Robert Schenkkan
nm1480092,1,Sadwyn Brophy
nm0775623,1,Peter Schrum
nm0748239,1,Tex Rubinowitz
nm0213948,1,Guy Decomble
nm0094163,1,Eugenie Bondurant
nm0324397,1,Dave Goelz
nm0297306,1,Tony Fucile
nm0553036,1,Sandy Martin
nm0191784,1,Mwako Cumbuka
nm6210352,1,V. Lastochkin
nm1993815,1,Shaun Patten
nm10215504,1,Ik-han Jung
nm0835016,1,Mark Strong
nm0935597,1,Irene Winston
nm0123249,1,Bill Burrows
nm0130860,1,Mhairi Calvey
nm0001804,1,Stanley Tucci
nm0634159,1,Philippe Noiret
nm0512231,1,Howard Lindsay
nm0938052,1,Ian Wolfe
nm0001557,4,Viggo Mortensen
nm1323565,1,Kiko Marques
nm0914209,1,James Waterston
nm0648056,1,Gunnar Olsson
nm0001855,1,Tom Wilson
nm0756378,1,Parikshit Sahni
nm0000587,1,Donald Pleasence
nm0596109,1,Zia Mohyeddin
nm0487884,2,Alexandra Maria Lara
nm0000476,1,Sally Kirkland
nm1431940,1,Evangeline Lilly
nm0446964,1,Leonard Kelly-Young
nm0004056,7,Andrew Stanton
nm0000630,2,Liev Schreiber
nm0574014,1,Peter McNicholl
nm0499626,1,Ernest Lehman
nm3197351,1,Javier Pedersoli
nm0749363,1,Rufus
nm0678420,1,Gina Petrushka
nm0737257,1,Wayne Rogers
nm0197647,1,James Badge Dale
nm0443344,1,Linda Kaye
nm1091185,1,Hinnerk Schönemann
nm0792845,2,Robert E. Sherwood
nm0000332,3,Don Cheadle
nm0566783,1,Matt McCoy
nm0394054,1,William Hope
nm1310960,1,Park Hae-il
nm4411190,1,Kanon Tani
nm0000184,6,George Lucas
nm0515950,1,Danny Lloyd
nm0000249,2,James Woods
nm0486413,1,Chris Langham
nm2835616,1,Dean-Charles Chapman
nm0592500,1,Olga Mironova
nm1281253,1,Roddy Skeaping
nm3146363,1,Chee Thao
nm0564349,1,Maureen McBride
nm0181425,1,Jesse Corti
nm0001666,1,Debbie Reynolds
nm3175843,1,Choua Kue
nm0358069,1,Murray Hamilton
nm0001309,1,Anthony Michael Hall
nm7573141,1,Josefine Balluck
nm8784423,1,Daisy Kocher
nm0142804,1,Antonio Casale
nm0602941,1,Nick Moran
nm0230934,1,Guy Doleman
nm0148294,1,Antonio Centa
nm0288453,1,Fournez-Goffard
nm0013934,1,Patrick Aherne
nm3760619,1,Chaitali Bose
nm3109964,1,Brian Tyree Henry
nm6328030,1,Nikhil Mehrotra
nm0223499,1,Ayesha Dharker
nm0536574,1,George Maguire
nm0000591,4,Roman Polanski
nm2195817,1,Samantha Mahurin
nm0688132,1,Amy Poehler
nm0198470,1,Ken Daly
nm0000245,3,Robin Williams
nm2507254,1,Mila Brener
nm0537004,1,Zdenek Mahler
nm0592756,1,Masao Mishima
nm0757855,3,Zoe Saldana
nm0121090,1,Ian Burfield
nm0043039,1,Garth Avery
nm0002031,1,Michael Curtiz
nm0662960,1,James Parks
nm0213450,2,Dean DeBlois
nm0914023,1,Harry Waters Jr.
nm2450453,1,Hugo Guinness
nm0709615,1,John Randall
nm0197421,1,Masume Dair
nm0001661,2,Rob Reiner
nm0000973,1,Benjamin Bratt
nm0315760,1,Abdel Ahmed Ghili
nm0833448,1,Lee Strasberg
nm0057245,1,Paul Barrett
nm0001159,2,Faye Dunaway
nm0000843,1,Anne Bancroft
nm0720082,1,Liisa Repo-Martell
nm1537375,1,Christine Francis
nm4094352,1,Ted Welch
nm0126260,2,P.J. Byrne
nm0002144,1,John Houseman
nm0355095,1,Jack Haley
nm0001017,1,John Carradine
nm0744839,1,Eric Roth
nm0784262,1,Frank Senger
nm0001739,1,Jean Simmons
nm0792421,1,Don Sherman
nm0242735,1,Ralph Dunn
nm0641780,1,William O'Malley
nm0774119,1,Lutz Schnell
nm0356847,1,Günther Maria Halmer
nm3053338,1,Margot Robbie
nm4159861,1,Shirin Yazdanbakhsh
nm1526718,1,Jillie Simon
nm0002063,1,Leif Erickson
nm2655177,1,Caleb Landry Jones
nm0635241,1,Yngve Nordwall
nm0039435,1,Luke Askew
nm0186440,1,Ward Crane
nm0530365,1,Sergi López
nm0135044,1,Peter Capell
nm0009530,1,Alon Aboutboul
nm0301348,1,Richard Gaines
nm0594271,1,Akihiro Miwa
nm4185833,1,William A. Boardway
nm0000044,1,Burt Lancaster
nm1724319,1,Sebastian Maniscalco
nm0249291,1,Joel Edgerton
nm0498181,1,Ruta Lee
nm0413561,1,Gordon Jackson
nm0123748,1,Tony Burton
nm0000130,1,Jamie Lee Curtis
nm0002117,1,Paul Guilfoyle
nm0201227,1,Frank Darien
nm0275835,1,John Fiedler
nm0144307,1,John Cassini
nm0329304,1,Frances Goodrich
nm3735902,1,Shoaib Ahmed
nm0896322,1,Francisco Vidal
nm6210361,1,Vladimir Sverba
nm0801548,1,Jean Sincere
nm0618690,1,Matheus Nachtergaele
nm0001525,1,John C. McGinley
nm0567018,1,Alex McCrindle
nm0656226,1,Joy Page
nm0122446,1,W.R. Burnett
nm0633058,1,Adi Nitzan
nm3727149,1,Young-ae Kim
nm0206060,1,Anthony Dawson
nm0565494,1,Colleen McCauley
nm0527127,1,Armand Lurville
nm2902428,1,Kevin DeCoste
nm0001338,1,Brian Helgeland
nm0745780,1,Richard Roundtree
nm0528422,1,Pauline Lynch
nm0518057,1,Giuliana Lojodice
nm0393841,1,James G. Hoosier
nm0850847,1,Rai Tasco
nm0000228,4,Kevin Spacey
nm0026718,1,Floyd Anderson
nm0179289,1,Ellen Corby
nm0032962,1,Tomas Arana
nm0032810,1,Julian Arahanga
nm0002076,1,Jason Flemyng
nm0444940,1,Jack Kehler
nm0680846,2,Todd Phillips
nm0027437,1,Sharon Anderson
nm0229084,1,Omid Djalili
nm0000286,1,Stephen Baldwin
nm0006498,2,Majid Majidi
nm0459552,2,Elem Klimov
nm2808008,1,Bader Alami
nm2945792,1,Paul Knauls
nm0903386,1,Jeffrey Voorhees
nm0001693,2,Eva Marie Saint
nm0001053,6,Ethan Coen
nm1502434,1,Leslie Odom Jr.
nm0085737,1,Don Blackman
nm0597042,2,Clotilde Mollet
nm0502073,1,Thomas Lennon
nm0694631,1,Tom Powers
nm0000402,3,Carrie Fisher
nm0127960,1,Lorenzo Caccialanza
nm0823435,1,Diego Starosta
nm0843213,1,William Sylvester
nm0848217,1,Ted Tally
nm0443244,1,Michael Kaycheck
nm0835732,1,Jeb Stuart
nm0732703,1,James Robinson
nm0555483,1,Yûko Maruyama
nm1869741,1,Nergis Çorakçi
nm0448302,1,Robert B. Kennedy
nm0660031,1,Vanna Paoli
nm0004668,1,Kevin Cooney
nm0542134,1,Anthony Mangano
nm0082550,1,Stephen Billington
nm0292235,1,Shelagh Fraser
nm0479951,1,Ronald Lacey
nm0067789,1,Jordan Belfort
nm0003424,3,Hank Mann
nm3116410,1,Sonny Vue
nm0101710,3,Billy Boyd
nm0248848,1,Robert Eddison
nm0200452,2,Paul Dano
nm7761973,1,Freda Betsky
nm0551261,1,D.M. Marshman Jr.
nm0698998,1,David Proval
nm0354989,1,Richard Hale
nm0352278,1,Matthias Habich
nm0528951,1,Liese Lyon
nm0011343,1,Samuel Hopkins Adams
nm0728307,1,Robert Riskin
nm0706325,1,Behzad Rafi
nm0877822,1,Rich Turner
nm0806277,1,James Sloyan
nm0174031,1,Francis Compton
nm0933489,1,Harry Wilson
nm0001835,1,Carl Weathers
nm0317506,1,Alan Gifford
nm0364997,1,Leonard Harris
nm0225103,1,Kem Dibbs
nm0343039,1,Grégoire Gromoff
nm0281808,2,Victor Fleming
nm0179224,1,Barry Corbin
nm0746583,1,Nicholas Rowe
nm0674816,1,Claude Perron
nm0713376,1,Ted Raymond
nm2872491,1,Martin Stringer
nm0444426,1,Arthur Keegan
nm0714268,1,Chris Rebello
nm0251536,1,Bernd Eichinger
nm0269283,1,Faustini
nm0005541,1,Marlon Wayans
nm0669311,1,Keir Pearson
nm0710020,1,Joe Ranft
nm0222480,1,Reba Devi
nm0102824,1,Leigh Brackett
nm0941621,1,John Worsham
nm0591352,1,Birgit Minichmayr
nm0711502,1,Rada Rassimov
nm1573892,1,Arian Moayed
nm0838330,1,Sean Sullivan
nm0005503,1,Susan Traylor
nm0050019,1,Walter Baldwin
nm0640547,1,Una O'Connor
nm1277591,1,Paris Howe Strewe
nm0393853,1,William Hootkins
nm0892736,1,G. Velts
nm0001485,1,Myrna Loy
nm0230649,1,Justus von Dohnányi
nm0410942,1,Yuriko Ishida
nm1538116,1,Tisca Chopra
nm0005562,1,Owen Wilson
