id,name
nm0261452,Christine Estabrook
nm0141734,Joseph Carter
nm0876300,Ulrich Tukur
nm0041066,Antonella Attili
nm0130437,Bryan Callen
nm0529587,Darling Légitimus
nm0694676,Leon Pownall
nm3086285,Natalia Cordova-Buckley
nm1011740,Sachiko Mitani
nm0067672,Lia Beldam
nm0000206,Keanu Reeves
nm0410968,Akira Ishihama
nm0470395,Valery Kravchenko
nm0936591,Andreas Wisniewski
nm0042805,Erick Avari
nm5093499,Jasmine Cephas Jones
nm4841898,Amine Benzenine
nm0434593,Kyôko Kagawa
nm1323287,Roe-ha Kim
nm0297538,Athol Fugard
nm0080930,Edward Biby
nm0586184,Alexandre Mihalesco
nm0262745,Estelle Evans
nm0154665,Paddy Chayefsky
nm9878616,Michelle Keserwany
nm1484270,Harry Shum Jr.
nm4525883,Jang Hye-jin
nm0001691,Geoffrey Rush
nm0410659,Mitsunori Isaki
nm0001652,John Ratzenberger
nm0149218,Chafûrin
nm0407030,Hisashi Igawa
nm0110063,Leo Britt
nm0934902,Paul Winfield
nm10928015,Mr. Peck
nm1716305,Denis Evrard
nm0585116,Esther Michelson
nm0128326,Frank Cady
nm7164107,Miyu Tsuji
nm0861636,Roderick Thorp
nm0500201,Coco Leigh
nm0843367,Robert Symonds
nm0248408,Emilio Echevarría
nm0765423,Janet Sarno
nm0101533,John Boxer
nm0829717,Paul Stewart
nm0867391,Eijirô Tôno
nm0159059,Marcus Chong
nm0269709,Frank Faylen
nm0000204,Natalie Portman
nm0084430,Erwin Biswanger
nm1445789,Paulie Litt
nm0297843,Susumu Fujita
nm0593565,Margaret Mitchell
nm0913346,Deric Washburn
nm0012121,Charlie Adler
nm1434871,Wes Chatham
nm0157058,Giulio Chiari
nm0867282,Philip Tonge
nm0941314,Linda Woolverton
nm7994173,Joseph Bradley
nm0933161,Charles C. Wilson
nm0040717,Fort Atkinson
nm0156039,Virginia Cherrill
nm2173724,Émilie Caen
nm0001199,Dennis Farina
nm0000020,Henry Fonda
nm0122767,Lisa Burns
nm0835836,Randy Stuart
nm11261148,Jae-myeong Jo
nm0425711,Malcolm Johnson
nm0529543,Jean-Pierre Léaud
nm0715953,Roger Rees
nm2031248,Alba Gaïa Bellugi
nm0325989,Renée Elise Goldsberry
nm0001057,Toni Collette
nm0641939,Ryan O'Neal
nm4609731,Kaitlyn Dias
nm1180138,Amelia Batchelor
nm0701023,Jack Purvis
nm0000146,Ralph Fiennes
nm0006249,Satyajit Ray
nm0112390,Anthony Brophy
nm0000378,Minnie Driver
nm0864797,Hisao Toake
nm0002285,Pat O'Brien
nm0253574,Josip Elic
nm0644979,Kenji Ohba
nm0107495,Matthias Brenner
nm0229930,Peter Dobson
nm0001728,Wallace Shawn
nm0821543,Enzo Staiola
nm0001140,Philip K. Dick
nm0993242,Clémence Poésy
nm0684187,Joe Pingue
nm0471389,Jayant Kripalani
nm0614285,Gerard Murphy
nm0000312,Amy Brenneman
nm2887354,Girija Oak
nm0001397,Brion James
nm0331956,Carl Gottlieb
nm0000092,John Cleese
nm0000707,Sean Young
nm6003177,Mister Mackey Jr.
nm0272527,Mark Ferguson
nm0596350,Fana Mokoena
nm0007958,Diahnne Abbott
nm0001765,Harry Dean Stanton
nm0001260,John Gavin
nm0440511,Daniel Kash
nm0000352,Vincent D'Onofrio
nm2676147,Jonathan Groff
nm0818274,Wendie Jo Sperber
nm0461136,Keira Knightley
nm0000279,Hank Azaria
nm0001766,Barbara Stanwyck
nm0000100,Rowan Atkinson
nm0048147,Richard Bakalyan
nm0005204,Paul McCrane
nm0445316,Warren Keith
nm0466099,Alexander Korda
nm0104114,Richard Brake
nm8388409,Sky Alexis
nm0237838,Julie Dreyfus
nm1010405,Nick Schenk
nm0837503,Haruko Sugimura
nm0528373,Ken Lynch
nm0001971,Ewen Bremner
nm0175075,Jane Connelly
nm2831082,Jack Bird
nm0002103,Julian Glover
nm0001445,Martin Landau
nm0000811,Frankie Avalon
nm0579159,Michael Mendl
nm3085077,Sam Sheridan
nm5681790,Jacob Warner
nm0837420,Bunta Sugawara
nm0704859,Kazimir Rabetsky
nm0614730,Steve Murphy
nm0042317,Albert Austin
nm4759838,Mone Kamishiraishi
nm1221253,Dimiter D. Marinov
nm0936072,Dale Winton
nm0108040,Siegfried Breuer
nm0139380,John Carpenter
nm7402413,Yôhei Namekawa
nm0821504,Ernst Stahl-Nachbaur
nm0222447,Chunibala Devi
nm3214286,Xia Soua Chang
nm0928630,Shane Wilder
nm11314494,Ok-joo Lee
nm3892241,Kim Tae-ri
nm0000107,Kim Basinger
nm0157133,Shigeru Chiba
nm0076780,Daniel Bernhardt
nm0006762,Saeed Jaffrey
nm0888349,Philip Van Zandt
nm0104180,Martin Brambach
nm0669629,Bob Peck
nm0251059,Shannon Egleson
nm0332221,Lloyd Gough
nm1126657,George MacKay
nm0001294,Graham Greene
nm0706368,George Raft
nm0365383,Thomas Harris
nm0121386,Arthur Burghardt
nm0000191,Ewan McGregor
nm1099210,Josep Palau i Fabre
nm0437520,Nobuo Kaneko
nm0751902,Robert Ruth
nm7621667,Sanya Malhotra
nm0383554,Richard Higgs
nm0354430,Mohammad Haj-Hosseini
nm0326040,Akiva Goldsman
nm5626435,Guru Somasundaram
nm1011383,Amardeep Jha
nm0607185,Jennifer Morrison
nm2346179,Anthony Escobar
nm1750699,Wayne Canney
nm0269537,Jesslyn Fax
nm0363948,Robert Harper
nm5555784,Finn Carr
nm0254760,Chris Ellis
nm0910607,Christoph Waltz
nm0052334,Karuna Bannerjee
nm1242048,Mariane Plasteig
nm0160696,James V. Christy
nm0717810,Bill Reimbold
nm0000553,Liam Neeson
nm0671721,Austin Pendleton
nm0139107,François Caron
nm0137046,Timothy Carey
nm0225332,Kim Dickens
nm0718604,Otto Reiter
nm0000454,Dennis Hopper
nm0172615,Ray Collins
nm0569336,Sean McGinley
nm10711826,Spike Leighton
nm0047146,Barbara Bailey
nm0842137,Joseph Sweeney
nm0000168,Samuel L. Jackson
nm0001727,Robert Shaw
nm0000155,Whoopi Goldberg
nm0216566,Paul Delauzac
nm0602071,Margo Moorer
nm0166470,Carol Cleveland
nm0325743,Bo Goldman
nm0216507,Brian Delate
nm0115690,Karl Bruckschwaiger
nm0338169,Michael Green
nm0938950,Benedict Wong
nm0122769,Louise Burns
nm0240606,Quinn Duffy
nm0841501,Mack Swain
nm0035138,John Arledge
nm0001067,Jackie Coogan
nm0614075,Alec Murphy
nm0106295,Margaret Brayton
nm0173257,Sydney 'Big Dawg' Colston
nm0032370,Noel Appleby
nm1206094,Terry
nm0141816,Michael Carter
nm2535022,Philip King
nm0450810,Evelyn Keyes
nm0695177,Prakash Raj
nm11212400,Lexie Holland
nm0562679,Peter Mayhew
nm0001773,David Ogden Stiers
nm0914485,John M. Watson Sr.
nm3529046,Lexi Cowan
nm0781245,Bahare Seddiqi
nm0791502,Paul Shenar
nm3024139,James O'Neill
nm0000657,David Strathairn
nm2961388,Stephen Dunlevy
nm0779685,Randolph Scott
nm0317970,Billy Gilbert
nm0553887,Al Martino
nm0269021,Kent Faulcon
nm0120674,Sonny Bupp
nm1190376,Anthony Molinari
nm0639928,Brían F. O'Byrne
nm1188980,Giovanni Corporale
nm5511483,Absa Diatou Toure
nm2244205,Léa Seydoux
nm0650969,Dyana Ortelli
nm0308177,Oliver H.P. Garrett
nm0762153,Miguel Sandoval
nm0174403,Kerry Condon
nm0569547,Barry McGovern
nm0749021,Kristin Rudrüd
nm1337350,Jay Ellis
nm0672225,Bob Penny
nm1644112,Michael Cyril Creighton
nm0005994,Hoagy Carmichael
nm0309107,Tatsuya Gashûin
nm0924487,Barbara White
nm0226495,Peter DiGesu
nm0079645,Billy Bevan
nm0262635,Chris Evans
nm0236049,Heather Downham
nm0001186,Denholm Elliott
nm0542278,Erni Mangold
nm0000186,David Lynch
nm0853392,Jun Tazaki
nm0370632,Koba Hayashi
nm0444172,Joe Keaton
nm4430335,Jarin Towney
nm0037625,Antonin Artaud
nm0376046,Martin Hemme
nm0829815,Sara Stewart
nm0286927,Mitsuko Forstater
nm0430460,Victor Jory
nm0048417,Eddie Baker
nm0176846,Jack Coogan Sr.
nm0449534,Bruce M. Kerner
nm8624891,Ravi Aneja
nm0520859,Livio Lorenzon
nm0120116,Jeremy Bulloch
nm0000436,Curtis Hanson
nm0938176,Stuart Wolfenden
nm0132168,John W. Campbell Jr.
nm0240239,William Duell
nm1372922,Richard Pyros
nm0784000,Bilge Sen
nm5730649,Lewis Pullman
nm1279616,Ben Harlan
nm0806689,Patsy Smart
nm0759031,Gino Saltamerenda
nm7573140,Franz Balluck
nm0002233,Erich von Stroheim
nm0139370,Jeanne Carpenter
nm1625564,Evelio Larenagas
nm0564500,Richard McCabe
nm0800047,Abe Simon
nm0653942,Frank Overton
nm0533665,Andrew MacLachlan
nm0929609,Fred Willard
nm0093769,Fortunio Bonanova
nm0752699,Mark Ryan
nm0010696,Ales Adamovich
nm3170830,Krzysztof Soszynski
nm12329618,Teruhisa Harita
nm0938372,Donald Wolfit
nm0453115,Taran Killam
nm0962577,Jessica Kate Meyer
nm0195311,Joe D'Angerio
nm0000606,Jean Reno
nm0218731,Jerome Dempsey
nm0207401,Piero De Bernardi
nm0000348,Tony Curtis
nm12214775,Han-sun Jang
nm0090008,Stanley Blystone
nm0113184,Charles D. Brown
nm0863193,Zeffie Tilbury
nm1002038,Çetin Tekindor
nm0519765,Theodor Loos
nm0740283,Abbas-Ali Roomandi
nm1856097,Cho Yeo-jeong
nm0774516,David Schofield
nm3146066,Brooke Chia Thao
nm0078044,Aldo Berti
nm7955709,Si-eun Kim
nm0545298,Fredric March
nm0002011,Lee J. Cobb
nm0000982,Josh Brolin
nm0258423,Alvin Epstein
nm0020717,Keith Allen
nm0615249,Rodrigo Murray
nm0122653,Edward Burns
nm0000814,John G. Avildsen
nm0682757,Frank Pierson
nm8784422,Oliver Marks
nm0623762,Christopher Neame
nm0403634,Pat Hurst
nm0343165,Winston Groom
nm0001606,Chris Penn
nm0542721,Dieter Mann
nm0071160,Ted Beniades
nm0001772,Patrick Stewart
nm0853079,Robert Taylor
nm0829685,Monty Stuart
nm0645537,Heihachirô Ôkawa
nm1028059,Marta Belfort
nm0934750,William Windom
nm0317725,Ariadna Gil
nm2488633,Laura Chinn
nm0930239,Charles Williams
nm0212246,Christopher De Vore
nm0623505,Jeremiah Ndlovu
nm0408343,Yoshio Inaba
nm0000005,Ingmar Bergman
nm1801406,Kgomotso Seitshohlo
nm0005078,Stacy Keach
nm3102089,Rob Degnan
nm10504250,Carrie Louise Putrello
nm2871429,Sydney McCallister
nm0135679,Eolo Capritti
nm0002081,Edward Fox
nm0140890,Larry Carroll
nm0819525,G.D. Spradlin
nm0000362,Danny DeVito
nm0291068,Richard Frank
nm0001050,Montgomery Clift
nm0254402,Chris Elliott
nm2356963,Bea Miller
nm0550855,E.G. Marshall
nm0533599,Steven Mackintosh
nm0927145,Ellen Widmann
nm0167156,Lisa Cloud
nm0857147,Torin Thatcher
nm0085499,Samuel Lord Black
nm0368074,Shinobu Hashimoto
nm1249574,Phellipe Haagensen
nm0690597,Gillo Pontecorvo
nm0850183,Tarako
nm0036307,Jacques Arnna
nm0262595,Bruce A. Evans
nm0064194,Bunny Beatty
nm0672190,Michael Pennington
nm0862026,Ingrid Thulin
nm0543963,Arash Mansour
nm1323233,Mustafa Kamel
nm0104594,Larry Brandenburg
nm1232001,Juanjo Cucalón
nm0593775,Thomas Mitchell
nm0498834,Meg LeFauve
nm2182458,Seung-mok Yoo
nm1091701,Denzel Whitaker
nm0000132,Claire Danes
nm0381041,Harold G. Herthum
nm0211599,Pietro De Silva
nm0000002,Lauren Bacall
nm4723252,Shirin Azimiyannezhad
nm0001608,Barry Pepper
nm1419440,Ivana Baquero
nm0647970,Nancy Olson
nm0677037,Bob Peterson
nm0513130,Paulo Lins
nm0409287,Kazuhiko Inoue
nm0753249,Florence Ryerson
nm0485272,Charles Lane
nm0319268,Ann Gillis
nm0861151,Cameron Thor
nm0906301,Robert Wahlberg
nm2319871,Anna Camp
nm0001473,Laura Linney
nm0001845,Forest Whitaker
nm0270383,Russ Fega
nm0434759,Wolf Kahler
nm0748620,Paul Rudd
nm0006670,Paul F. Tompkins
nm0461425,Frederick Knott
nm0448590,Ken Kenny
nm0124579,Humberto Busto
nm1300254,Binnur Kaya
nm0039784,Joachim Paul Assböck
nm0376602,Shirley Henderson
nm0225734,Brenda Dickson
nm0189496,Russel Crouse
nm0005017,Katie Holmes
nm0533045,Marion Mack
nm0000131,John Cusack
nm0001647,Claude Rains
nm0785227,Andy Serkis
nm0657597,Ugo Paletti
nm0885014,Nick Vallelonga
nm0907170,Otto Waldis
nm0437128,Richard Kanayan
nm0404360,Josephine Hutchinson
nm0191950,Robert Cummings
nm3582089,Carlos Martínez López
nm0851311,Naoki Tatsuta
nm0700869,Amrish Puri
nm3797160,Tae-ho Ryu
nm0546017,Nick Marcq
nm0605992,Christian Moro
nm0644905,Tae-kyung Oh
nm0916088,Des Webb
nm0794658,Samia Shoaib
nm0442022,Cristen Kauffman
nm0132808,Rob Campbell
nm0242562,Emma Dunn
nm4689420,Carrie Coon
nm5016878,Jacob Tremblay
nm0000297,Tom Berenger
nm0103988,Penny Brahms
nm1412974,Glen Powell
nm0462321,Howard Koch
nm0001475,John Lithgow
nm0917837,Paul Weigel
nm0412917,Jaaved Jaaferi
nm1138201,Jae-ho Song
nm0001492,Kyle MacLachlan
nm0156928,Minoru Chiaki
nm0654648,David Oyelowo
nm0793363,James Shigeta
nm0550371,Eddie Marsan
nm0001190,David Prowse
nm0004742,Maria Bello
nm1542266,Joe Bricher
nm4841009,Chaouki Charbel
nm0439001,Kym Karath
nm0074636,Dan Bergin
nm0107573,Eve Brent
nm1179580,Seu Jorge
nm0445479,Chris Kell
nm0917570,Brenda Wehle
nm0355083,Brian Haley
nm6850010,Juan Santiago Linari
nm2745297,Kara Wang
nm0001124,Cecil B. DeMille
nm0186677,Lorella Cravotta
nm0004423,Gerry Robert Byrne
nm0045993,Bolaji Badejo
nm0524197,Josh Lucas
nm0625180,Billy Nelson
nm0019885,Roger Allam
nm0001379,John Huston
nm0123738,Terrence Burton
nm0614165,Cillian Murphy
nm0334882,Darío Grandinetti
nm0939992,Sam Wood
nm0770938,Robert Schenkkan
nm1480092,Sadwyn Brophy
nm0775623,Peter Schrum
nm0748239,Tex Rubinowitz
nm0213948,Guy Decomble
nm0094163,Eugenie Bondurant
nm0324397,Dave Goelz
nm0297306,Tony Fucile
nm0553036,Sandy Martin
nm0191784,Mwako Cumbuka
nm6210352,V. Lastochkin
nm1993815,Shaun Patten
nm10215504,Ik-han Jung
nm0835016,Mark Strong
nm0935597,Irene Winston
nm0123249,Bill Burrows
nm0130860,Mhairi Calvey
nm0001804,Stanley Tucci
nm0634159,Philippe Noiret
nm0512231,Howard Lindsay
nm0938052,Ian Wolfe
nm0001557,Viggo Mortensen
nm1323565,Kiko Marques
nm0914209,James Waterston
nm0648056,Gunnar Olsson
nm0001855,Tom Wilson
nm0756378,Parikshit Sahni
nm0000587,Donald Pleasence
nm0596109,Zia Mohyeddin
nm0487884,Alexandra Maria Lara
nm0000476,Sally Kirkland
nm1431940,Evangeline Lilly
nm0446964,Leonard Kelly-Young
nm0004056,Andrew Stanton
nm0000630,Liev Schreiber
nm0574014,Peter McNicholl
nm0499626,Ernest Lehman
nm3197351,Javier Pedersoli
nm0749363,Rufus
nm0678420,Gina Petrushka
nm0737257,Wayne Rogers
nm0197647,James Badge Dale
nm0443344,Linda Kaye
nm1091185,Hinnerk Schönemann
nm0792845,Robert E. Sherwood
nm0000332,Don Cheadle
nm0566783,Matt McCoy
nm0394054,William Hope
nm1310960,Park Hae-il
nm4411190,Kanon Tani
nm0000184,George Lucas
nm0515950,Danny Lloyd
nm0000249,James Woods
nm0486413,Chris Langham
nm2835616,Dean-Charles Chapman
nm0592500,Olga Mironova
nm1281253,Roddy Skeaping
nm3146363,Chee Thao
nm0564349,Maureen McBride
nm0181425,Jesse Corti
nm0001666,Debbie Reynolds
nm3175843,Choua Kue
nm0358069,Murray Hamilton
nm0001309,Anthony Michael Hall
nm7573141,Josefine Balluck
nm8784423,Daisy Kocher
nm0142804,Antonio Casale
nm0602941,Nick Moran
nm0230934,Guy Doleman
nm0148294,Antonio Centa
nm0288453,Fournez-Goffard
nm0013934,Patrick Aherne
nm3760619,Chaitali Bose
nm3109964,Brian Tyree Henry
nm6328030,Nikhil Mehrotra
nm0223499,Ayesha Dharker
nm0536574,George Maguire
nm0000591,Roman Polanski
nm2195817,Samantha Mahurin
nm0688132,Amy Poehler
nm0198470,Ken Daly
nm0000245,Robin Williams
nm2507254,Mila Brener
nm0537004,Zdenek Mahler
nm0592756,Masao Mishima
nm0757855,Zoe Saldana
nm0121090,Ian Burfield
nm0043039,Garth Avery
nm0002031,Michael Curtiz
nm0662960,James Parks
nm0213450,Dean DeBlois
nm0914023,Harry Waters Jr.
nm2450453,Hugo Guinness
nm0709615,John Randall
nm0197421,Masume Dair
nm0001661,Rob Reiner
nm0000973,Benjamin Bratt
nm0315760,Abdel Ahmed Ghili
nm0833448,Lee Strasberg
nm0057245,Paul Barrett
nm0001159,Faye Dunaway
nm0000843,Anne Bancroft
nm0720082,Liisa Repo-Martell
nm1537375,Christine Francis
nm4094352,Ted Welch
nm0126260,P.J. Byrne
nm0002144,John Houseman
nm0355095,Jack Haley
nm0001017,John Carradine
nm0744839,Eric Roth
nm0784262,Frank Senger
nm0001739,Jean Simmons
nm0792421,Don Sherman
nm0242735,Ralph Dunn
nm0641780,William O'Malley
nm0774119,Lutz Schnell
nm0356847,Günther Maria Halmer
nm3053338,Margot Robbie
nm4159861,Shirin Yazdanbakhsh
nm1526718,Jillie Simon
nm0002063,Leif Erickson
nm2655177,Caleb Landry Jones
nm0635241,Yngve Nordwall
nm0039435,Luke Askew
nm0186440,Ward Crane
nm0530365,Sergi López
nm0135044,Peter Capell
nm0009530,Alon Aboutboul
nm0301348,Richard Gaines
nm0594271,Akihiro Miwa
nm4185833,William A. Boardway
nm0000044,Burt Lancaster
nm1724319,Sebastian Maniscalco
nm0249291,Joel Edgerton
nm0498181,Ruta Lee
nm0413561,Gordon Jackson
nm0123748,Tony Burton
nm0000130,Jamie Lee Curtis
nm0002117,Paul Guilfoyle
nm0201227,Frank Darien
nm0275835,John Fiedler
nm0144307,John Cassini
nm0329304,Frances Goodrich
nm3735902,Shoaib Ahmed
nm0896322,Francisco Vidal
nm6210361,Vladimir Sverba
nm0801548,Jean Sincere
nm0618690,Matheus Nachtergaele
nm0001525,John C. McGinley
nm0567018,Alex McCrindle
nm0656226,Joy Page
nm0122446,W.R. Burnett
nm0633058,Adi Nitzan
nm3727149,Young-ae Kim
nm0206060,Anthony Dawson
nm0565494,Colleen McCauley
nm0527127,Armand Lurville
nm2902428,Kevin DeCoste
nm0001338,Brian Helgeland
nm0745780,Richard Roundtree
nm0528422,Pauline Lynch
nm0518057,Giuliana Lojodice
nm0393841,James G. Hoosier
nm0850847,Rai Tasco
nm0000228,Kevin Spacey
nm0026718,Floyd Anderson
nm0179289,Ellen Corby
nm0032962,Tomas Arana
nm0032810,Julian Arahanga
nm0002076,Jason Flemyng
nm0444940,Jack Kehler
nm0680846,Todd Phillips
nm0027437,Sharon Anderson
nm0229084,Omid Djalili
nm0000286,Stephen Baldwin
nm0006498,Majid Majidi
nm0459552,Elem Klimov
nm2808008,Bader Alami
nm2945792,Paul Knauls
nm0903386,Jeffrey Voorhees
nm0001693,Eva Marie Saint
nm0001053,Ethan Coen
nm1502434,Leslie Odom Jr.
nm0085737,Don Blackman
nm0597042,Clotilde Mollet
nm0502073,Thomas Lennon
nm0694631,Tom Powers
nm0000402,Carrie Fisher
nm0127960,Lorenzo Caccialanza
nm0823435,Diego Starosta
nm0843213,William Sylvester
nm0848217,Ted Tally
nm0443244,Michael Kaycheck
nm0835732,Jeb Stuart
nm0732703,James Robinson
nm0555483,Yûko Maruyama
nm1869741,Nergis Çorakçi
nm0448302,Robert B. Kennedy
nm0660031,Vanna Paoli
nm0004668,Kevin Cooney
nm0542134,Anthony Mangano
nm0082550,Stephen Billington
nm0292235,Shelagh Fraser
nm0479951,Ronald Lacey
nm0067789,Jordan Belfort
nm0003424,Hank Mann
nm3116410,Sonny Vue
nm0101710,Billy Boyd
nm0248848,Robert Eddison
nm0200452,Paul Dano
nm7761973,Freda Betsky
nm0551261,D.M. Marshman Jr.
nm0698998,David Proval
nm0354989,Richard Hale
nm0352278,Matthias Habich
nm0528951,Liese Lyon
nm0011343,Samuel Hopkins Adams
nm0728307,Robert Riskin
nm0706325,Behzad Rafi
nm0877822,Rich Turner
nm0806277,James Sloyan
nm0174031,Francis Compton
nm0933489,Harry Wilson
nm0001835,Carl Weathers
nm0317506,Alan Gifford
nm0364997,Leonard Harris
nm0225103,Kem Dibbs
nm0343039,Grégoire Gromoff
nm0281808,Victor Fleming
nm0179224,Barry Corbin
nm0746583,Nicholas Rowe
nm0674816,Claude Perron
nm0713376,Ted Raymond
nm2872491,Martin Stringer
nm0444426,Arthur Keegan
nm0714268,Chris Rebello
nm0251536,Bernd Eichinger
nm0269283,Faustini
nm0005541,Marlon Wayans
nm0669311,Keir Pearson
nm0710020,Joe Ranft
nm0222480,Reba Devi
nm0102824,Leigh Brackett
nm0941621,John Worsham
nm0591352,Birgit Minichmayr
nm0711502,Rada Rassimov
nm1573892,Arian Moayed
nm0838330,Sean Sullivan
nm0005503,Susan Traylor
nm0050019,Walter Baldwin
nm0640547,Una O'Connor
nm1277591,Paris Howe Strewe
nm0393853,William Hootkins
nm0892736,G. Velts
nm0001485,Myrna Loy
nm0230649,Justus von Dohnányi
nm0410942,Yuriko Ishida
nm1538116,Tisca Chopra
nm0005562,Owen Wilson
nm0643211,Philip Ober
nm0000406,John Ford
nm9741458,Burak Akçakaya
nm0234541,Roy Dotrice
nm0001618,Joaquin Phoenix
nm0016039,Mario Alarcón
nm0726900,Lucia Rijker
nm4706289,Nadia Essadiqi
nm0000621,Kurt Russell
nm0046725,Sam Bagley
nm0209759,Luis De Lima
nm0076700,Sara Berner
nm1542198,Henry Baird
nm0004937,Jamie Foxx
nm0386046,Anny Hintze
nm0408184,Roger Imhof
nm0677654,Enzo Petito
nm1796924,Volker Michalowski
nm0932112,Mykelti Williamson
nm0065320,Graham Beckel
nm0001021,Veronica Cartwright
nm1092540,Tanya Clarke
nm0871252,B. Traven
nm0732945,Nichole Galicia
nm0634279,Jane Nolan
nm0508742,Brian Libby
nm0070507,Richard Bender
nm0071059,Hubertus Bengsch
nm1099016,Giles New
nm0672459,David Webb Peoples
nm0230032,Pete Docter
nm0288830,Douglas Fowley
nm0592135,Lin-Manuel Miranda
nm0001351,George Roy Hill
nm0233377,Jesse Doran
nm0814885,Fred Sorenson
nm0491011,Guillaume Laurant
nm0289856,Guillermo Francella
nm0028625,David Andrews
nm0950867,Harris Yulin
nm0683116,Tim Pigott-Smith
nm0488306,Linda Larkin
nm0341055,Joe Grifasi
nm0721675,David Reynolds
nm0041767,Joe Aufiery
nm0284997,Amerigo Fontani
nm1126070,Gurkirtan
nm0265670,Frankie Faison
nm4733752,Kimiko Glenn
nm4261031,Sujatha Sivakumar
nm0000799,Edward Asner
nm0526058,Margarito Luna
nm0387561,Halliwell Hobbes
nm0571650,Charles McKeown
nm0001133,Brian Dennehy
nm0000795,Jean Arthur
nm0525921,Joanna Lumley
nm0001814,Gus Van Sant
nm0179893,Charles Cork
nm0001571,Kim Novak
nm0094435,Bong Joon Ho
nm0605365,P.H. Moriarty
nm0753479,Chishû Ryû
nm0056477,Byron Barr
nm0380073,Maximiliano Hernández
nm0225741,Charles Dierkop
nm0260421,Ernesto Escoto
nm0369841,Jean C. Havez
nm0386570,Oliver Hirschbiegel
nm0273371,Alex Fernandez
nm4841883,Asriah Nijres
nm0678469,Gio Petré
nm1164098,Jamie de Courcey
nm0231698,Vasiliy Domrachyov
nm0610115,Marcel Moussy
nm0069724,Carla Belver
nm9741456,Tugyan Akay Kavukçu
nm2368789,Zoë Kravitz
nm0565068,Brendan McCarthy
nm0113909,Jophery C. Brown
nm0164950,Philip L. Clarke
nm0001940,Peter Benchley
nm0520199,Sal Lopez
nm0678956,Kambiz Peykarnegar
nm3395251,Jon Rua
nm0818874,Joe Spinell
nm1040556,Jon Krakauer
nm0653959,Rick Overton
nm0313438,Gladys George
nm0041756,Patrick Auffay
nm0915989,Hugo Weaving
nm1659221,Sebastian Stan
nm0224214,Nicola Di Pinto
nm0000564,Peter O'Toole
nm0000683,Gore Vidal
nm0817748,Bruce Spence
nm5208473,Iota
nm0001583,Jerry Orbach
nm0959022,Darrell Zwerling
nm0602968,Seamus Moran
nm3115704,Ahney Her
nm0000434,Mark Hamill
nm0565336,Tom McCarthy
nm0000410,Stephen Fry
nm1640149,Dan Brown
nm0369617,Jerry Hausner
nm0073415,Aleksandr Berda
nm2871845,Jacob Stringer
nm0112203,Rand Brooks
nm0802280,Isaac C. Singleton Jr.
nm0415513,Melissa Jaffer
nm0768026,Ikio Sawamura
nm0189144,David Cross
